Categoria,Nombre de la Línea,Tipo de Línea,Necesidades,SKU,Código EAN,Producto,Descripción Corta,Indicación,Modo de uso,INCI,Activos,Beneficios,Generales,Presentación,Ancho (mm),Prof (mm),Altura (mm),Peso (g)
Dermocosmética,Acneiqué ,Piel Oleosa,Hidratación,1600101,7798182770042,Acneiqué ,Crema-Gel para pieles con tendencia al acné. Seborreguladora. Antioxidante,Acneique es una crema gel seborreguladora e hidratante especialmente formulada para pieles oleosas y/o con tendencia al acné. Contiene activos con popiedades antisépticas y antienrrojecimiento.  Regula el exceso de sebo. ,"Aplicar Acneiqué Crema gel  sobre la piel limpia y seca del rostro, cuello y escote. Se recomienda utilizar Acneique Gel limpiador o Acneique H2O agua micelar para complementar el tratamiento. Aplicar una o varias veces al día de acuerdo a la necesidad.","WATER, CETEARYL ALCOHOL AND CETEARETH 20, NICOTINAMIDE, GLYCERIN, PROPYLENE GLYCOL, ALCOHOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, GLYCERYL STEARATE, DIMETHICONE, PHENOXYETHANOL, PROPYLENE GLYCOL (AND) ETHYLHEXYLGLYCERIN (AND) OCTENIDINE HCL, HAMAMELIS VIRGINIANA WATER, CHAMOMILLA RECUTITA FLOWER EXTRACT, EPILOBIUM FLEISCHERI EXTRACT, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, TRIETHANOLAMINE, CARBOMER,
SALICYLIC ACID, TETRASODIUM EDTA, MENTHYL LACTATE, PARFUM.","Niacinamida 4% 
ALPAFLOR® ALP® - SEBUM 
Ácido Salicílico
Hamamelis
Chamomilla
Polifenoles de UVA","Su exclusiva fórmula contiene una asociación sinérgica de activos: Ácido salicílico que con su acción queratolítica favorece la renovación celular. ALPAFLOR® ALP®-SEBUM, activo natural proveniente de los alpes suizos, que contribuye a seborregular, matificar y suavizar la piel oleosa. Es un inhibidor de la 5 alfa reductasa, enzima clave en la producción de sebo que inhibe marcadores inflamatorios. Disminuye la producción del cutibacterium acnés mejorando el microbioma natural cutáneo. La Niacinamida o Vitamina B3, regula el exceso de sebo, reduce el brillo y minimiza la apariencia de los poros. Contiene además activos descongestivos que ayudan a reducir rojeces y/o disconfort como la Chamomilla y el Hamamelis. Posee un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA.","Hipoalergénica 
Sin Parabenos
No comedogénico
Clínica y dermatológicamente testeado
Cruelty Free",Pomo x 40 gr,40,40,112,58
Dermocosmética,Acneiqué ,Piel Oleosa,Hidratación,1600103,7798182770325,Acneiqué Mat,Crema-Gel matificante para pieles con tendencia al acné. Seborreguladora e hidratante,"Acneiqué Mat crema-gel es matificante, seborreguladora e hidratante. Cuidado diario ideal para pieles oleosas y/o con tendencia al acné. Tiene un efecto mate, anti-brillo, minimiza el tamaño de los poros e hidrata 24 hs.",Aplicar Acneiqué Mat sobre la piel limpia y seca. Se recomienda utilizar Acneique Gel limpiador o Acneique H2O agua micelar para complementar el tratamiento. Aplicar una o varias veces al día de acuerdo a la necesidad.,"Water, Propanediol (And) Aqua (And) Alcohol (And) Iris Florentina Root Extract (And) Zinc Sulfate (And) Retinyl Palmitate, Alcohol, Dicaprylyl Carbonate, Aqua/ Caprylyl Glycol/ Chondrus Crispus Extract/ Ethylhexylglycerin/Glucose/Phenoxyethanol/ Xanthan Gum, Glycerin, Polyacrylate 13 & Polyisobutene & Polysorbate 20, Synthetic Fluorphlogopite, Cyclopentasiloxane, Dimethicone/Vinyl Dimethicone Crosspolymer (And) Silica, Cetearyl Alcohol And Ceteareth 20, Phenoxyethanol, Xylitylglucoside, Anhydroxylitol, Xylitol, Triethanolamine, Salicylic Acid, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Vitis Vinifera (Grape) Fruit Extract, Parfum, Sodium Hyaluronate.","Ácido Hialurónico
Polifenoles de UVA
Zinc Iris Retinol
Lipomoist™ ","Su exclusiva fórmula contiene Zinc que actúa como antiséptico, extractode Iris como seborregulador y retinol para favorecer la renovación celular. Además, tiene una asociación de activos hidratantes; lipomoistTM y ácido hialurónico que garantizan una hidratación duradera. Posee un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA.","Hipoalergénica 
Sin Parabenos
No comedogénico
Clínica y dermatológicamente testeado
Cruelty Free",Pomo x 40 gr,40,30,145,60
Dermocosmética,Acneiqué ,Piel Oleosa,Limpieza,1600104,7798182770332,Acneiqué Gel,"Gel Limpiador para pieles
con tendencia al acné.
Seborregulador y Purificante",Acneique Gel es un limpiador suave diario para el rostro. Indicado para pieles oleosas y/o con tendencia al acné. Elimina las impurezas y el exceso de sebo. Deja la piel limpia y fresca con un efecto mate.,Aplicar en el rostro por la mañana y/o noche con la piel húmeda y con suaves masajes. Enjuagar con abundante agua. No aplicar en los ojos.,"WATER, HYDROXYETHYLCELLULOSE, DISODIUM EDTA, PROPYLENE GLYCOL, CI 42051, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, LACTIC ACID, PROPANEDIOL (AND) AQUA (AND) ALCOHOL (AND) IRIS FLORENTINA ROOT EXTRACT (AND) ZINC SULFATE (AND) RETINYL PALMITATE; PEG-7, GLYCERYL COCOATE, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN, DISODIUM COCOYL GLUTAMATE, COCAMIDOPROPYL BETAINE, LAURYL METHYL GLUCETH-10 HYDROXYPROPYLDIMONIUM CHLORIDE, PARFUM.","Zinc Iris Retinol
Polifenoles de UVA","Contiene Zinc como antiséptico, extracto de iris como seborregulador y retinol para favorecer la renovación celular. Posee un alto efecto  antioxidante gracias a nuestros exclusivos Polifenoles de UVA.","Hipoalergénica 
Sin Parabenos
No comedogénico
Clínica y dermatológicamente testeado
Cruelty Free",Pomo x 200 gr,80,50,185,225
Dermocosmética,Acneiqué ,Piel Oleosa,Limpieza,1600106,7798182770851,Acneiqué H20 ,"Solución Micelar para pieles mixtas a grasas. Limpia, desmaquilla y matifica","Solución micelar limpiadora y desmaquillante de rostro y ojos para pieles oleosas y/o con tendencia al acné. Limpia, desmaquilla y seborregula. Piel fresca y matificada al instante.","Aplicar con un algodón humedecido sobre todo el rostro. Limpie y/o desmaquille la cara y los ojos con suavidad. Repetir la aplicación hasta que el algodón salga limpio y secar la cara suavemente sin frotar, con una toalla limpia.","WATER, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, PROPYLENE GLYCOL, SODIUM CHLORIDE, POLYAMINOPROPYL BIGUANIDE, TETRASODIUM EDTA, MANNITOL, XYLITOL, PROPANEDIOL (AND) AQUA (AND) ALCOHOL (AND) IRIS FLORENTINA ROOT EXTRACT (AND) ZINC SULFATE (AND) RETINYL PALMITATE, CETRIMONIUM BROMIDE, ETHYLHEXYLGLYCERIN, ZINC GLUCONATE, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, LACTIC ACID, PARFUM, CI 42051","Zinc Iris Retinol
Manitol y Xilitol
Acido Láctico
Polifenoles de UVA","Los activos Manitol y Xilitol, son hidratantes y calmantes. Contiene Zinc como antiséptico, extracto de Iris como seborregulador y Retinol para favorecer la renovación celular. El ácido láctico contribuye en la mejora
de la textura de la piel. Posee un alto efecto antioxidante gracias a nuestros
exclusivos Polifenoles de uva.","Hipoalergénica 
Sin Parabenos
No comedogénico
Clínica, oftalmológica y dermatológicamente testeado
Cruelty Free","Envase x 245 ml
",60,55,145,276
Dermocosmética,Acneiqué ,Piel Oleosa,Probioticos,1698601,7795345122748,Probiac comprimidos 30+30,Suplemento dietario a base de Probióticos y Vitaminas,Coadyuvante en el tratamiento del acné. Ayuda a mejorar el acné en todas sus fases.,"Tomar 1 comprimido de Vitaminas, Zinc y Cobre (comprimido verde) y 1 comprimido de probióticos al dia (comprimido blanco).","Vitaminas, Zinc y Cobre: Blisglicinato zinc, Blisglicinato cúprico, Nicotinamida, Palmitato de retinol, Clorhidrato de piridoxina, EST (INS 460i, 463, 464, 468), ANAH (INS 572, 553iii, 551), COL (INS 171, 133, 104, 129). Probióticos: Lactobacillus Acidophilus NCFM SD 5221, Bifidobacterium Lactis HN019 SD 5674, EST (INS 460i), ANAH (INS 551, 572).",,"Probióticos y Vitaminas que ayudan a modular la inflamacion sistemica que produce el acné y a controlar la hiperqueratinización, hipersecrecion y proliferación del acné","Libre de Gluten (Sin T.A.C.C), Lactosa y Azúcar",30+30 comprimidos recubiertos,,,,
Dermocosmética,Acneiqué ,Piel Oleosa,Limpieza,1600109,7798182771179,Acneiqué Gel,"Gel Limpiador para pieles
con tendencia al acné.
Seborregulador y Purificante",Acneique Gel es un limpiador suave diario para el rostro. Indicado para pieles oleosas y/o con tendencia al acné. Elimina las impurezas y el exceso de sebo. Deja la piel limpia y fresca con un efecto mate.,Aplicar en el rostro por la mañana y/o noche con la piel húmeda y con suaves masajes. Enjuagar con abundante agua. No aplicar en los ojos.,"WATER, HYDROXYETHYLCELLULOSE, DISODIUM EDTA, PROPYLENE GLYCOL, CI 42051, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, LACTIC ACID, PROPANEDIOL (AND) AQUA (AND) ALCOHOL (AND) IRIS FLORENTINA ROOT EXTRACT (AND) ZINC SULFATE (AND) RETINYL PALMITATE; PEG-7, GLYCERYL COCOATE, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN, DISODIUM COCOYL GLUTAMATE, COCAMIDOPROPYL BETAINE, LAURYL METHYL GLUCETH-10 HYDROXYPROPYLDIMONIUM CHLORIDE, PARFUM.","Zinc Iris Retinol
Polifenoles de UVA","Contiene Zinc como antiséptico, extracto de iris como seborregulador y retinol para favorecer la renovación celular. Posee un alto efecto  antioxidante gracias a nuestros exclusivos Polifenoles de UVA.","Hipoalergénica 
Sin Parabenos
No comedogénico
Clínica y dermatológicamente testeado
Cruelty Free",Botella x 450 gr,,,,
Dermocosmética,Acneiqué ,Piel Oleosa,Limpieza,1600107,7798182770950,Acneiqué Exfoliant,"Gel exfoliante 2 en 1 para pieles con tendencia al acné
","Acneiqué Exfoliant es un gel renovador 2 en 1. Gracias a sus microparticulas, elimina células muertas, impurezas y el exceso de sebo. ","Aplicar una a tres veces por semana sobre la piel húmeda del rostro con suaves masajes circulares. Reforzar en mentón, nariz y frente. Evitar contorno de ojos. Enjuagar con abundante agua","WATER, ORYZA SATIVA POWDER/ACTINIDIA CHINENSIS FRUIT EXTRACT/CITRUS LIMON FRUIT, EXTRACT/CITRUS GRANDIS FRUIT EXTRACT, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, POLYACRYLATE 13 &, POLYISOBUTENE & POLYSORBATE 20, CAPRYLHYDROXAMIC ACID (AND) PHENOXYETHANOL (AND), METHYLPROPANEDIOL, GLYCOL STERATE (GENERIC) AND SODIUM LAURETH SULFAT, PEG-7 GLYCERYL, COCOATE, SACCHARIDE ISOMERATE, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, PARFUM, MANNITOL, XYLITOL
PROPYLENE GLYCOL, WATER/PROPYLENE GLYCOL/ALCOHOL/SODIUM PCA/ARGININE/LEPIDIUMMEYENII (MACA) ROOT EXTRACT/ZINGIBEROFFICINALE ROOT EXTRACT, PROPANEDIOL (AND) AQUA (AND) ALCOHOL (AND) IRIS FLORENTINA ROOT EXTRACT (AND) ZINC SULFATE (AND) RETINYL PALMITATE, DISODIUM EDTA 
ETHYLHEXYLGLYCERIN.","Pentavitin®
Zinc Iris Retinol
Novascrub™ Arroz
Polifenoles de Uva
","Acneique Exfoliant 2 en 1, contiene Novascrub™ Arroz: micropartículas de arroz impregnadas en una solución de alfa hidroxiácidos derivados del kiwi. Es un exfoliante inteligente de acción dos en uno; física y química. Es 100% natural y biodegradable y Respeta el PH fisiológico de la piel.
Además, posee Zinc como antiséptico, extracto de Iris como seborregulador y Retinol para potenciar la renovación celular. Pentavitin® garantiza una hidratación instantánea y profunda por 72 horas. 
Posee un alto efecto anti oxidante gracias a nuestros exclusivos Polifenoles de uva.
La piel lucirá piel suave, limpia y fresca con un efecto mate.
","Hipoalergénico
Testeado clínica y dermatológicamente
Sin parabenos
",Pomo x 70 gr,35,35,135,80
Dermocosmética,Acneiqué ,Piel Oleosa,Exfoliación,,,Acneiqué Sérum,Sérum anti-imperfecciones intensivo para pieles oleosas y/o con tendencia al acné                                                                                                                    ,"Acneiqué Sérum anti-imperfecciones intensivo, es un tratamiento para atenuar marcas, poros visibles y puntos blancos y negros. Seborregulador, peeling diario y antioxidante. Una fórmula que purifica y mejora la textura de la piel e hidrata.  Indicado para pieles oleosas y como coadyuvante en los tratamientos del acné. ","Aplicar sobre la piel limpia y seca del rostro, por la noche. Colocar 3 a 5 gotas sobre la piel realizando suaves masajes circulares con la yema de los dedos. Evitar el contacto con mucosas y el contorno de los ojos. Para potenciar el efecto, se recomienda complementar con Acneiqué Gel y/o Acneiqué Mat. Durante el tratamiento, es necesario el uso de protección solar FPS 50+ de día y evitar la exposición prolongada al sol. Comenzar su uso de forma alternada y progresiva.","WATER, DIPROPYLENE GLYCOL, NICOTINAMIDE, ALCOHOL, GLYCOLIC ACID, WATER/PROPYLENE GLYCOL/ALCOHOL/SODIUM PCA/ARGININE/LEPIDIUMMEYENII (MACA) ROOT EXTRACT/ZINGIBEROFFICINALE ROOT EXTRACT, POTASSIUM HYDROXIDE, SALICYLIC ACID, EPILOBIUM FLEISCHERI EXTRACT, POLYOXYL 40 HYDROGENATED CASTOR OIL, PHENOXYETHANOL, HYDROXYETHYLCELLULOSE, BISABOLOL, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, PARFUM","Niacinamida 
Ácido Salicílico 
Ácido Glicólico
ALPAFLOR® ALP®-SEBUM
Bisabolol
Polifenoles de UVA
","Acneiqué Sérum es un sérum intensivo para pieles oleosas y/o con tendencia al acné. 
Su exclusiva fórmula contiene una asociación sinérgica de activos:
Niacinamida 5%, Vitamina B3 que mejora la función barrera de la piel, calma y protege, además de contribuir a seborregular y atenuar las manchas.  
Ácido Salicílico 1,5% y Ácido Glicólico 3.5% combinados para una acción queratolítica, que favorece la renovación celular, mejora la textura de la piel y atenúa las imperfecciones características como marcas, poros dilatados y puntos blancos y negros. 
ALPAFLOR® ALP®-SEBUM 1,5%, activo natural proveniente de los Alpes Suizos, que contribuye a seborregular, matificar y suavizar la piel oleosa. Es un inhibidor de la 5 alfa reductasa, enzima clave en la producción de sebo que inhibe marcadores inflamatorios. Disminuye la producción del cutibacterium acnés mejorando el microbioma natural cutáneo. 
Se suman a la fórmula Bisabolol, oligoelementos vitales para la piel y nuestros exclusivos polifenoles de UVA con alto efecto antioxidante. Su textura es fluida y de rápida absorción.
","Hipoalergénico
Testeado clínica y dermatológicamente

",Gotero x 30 ml ,,,,
Dermocosmética,Clarité,Pigmentación,Manchas,1600201,7798182770059,Clarité,Crema fluída blanqueadora y despigmentante. Antioxidante,Clarité es una crema fluída despigmentante que atenúa manchas y unifica el tono de la piel otorgándole luminosidad. Contiene activos hidratantes y antioxidantes. Cuidado diario ideal para pieles hiperpigmentadas y coadyuvante de tratamientos médicos.,"Aplicar Clarité sobre la piel limpia y seca del rostro, cuello y escote, indistintamente por la mañana y/o noche. Se recomienda utilizar el producto diariamente durante 60-90 días como mínimo para resultados visibles. Complementar con protección solar.","Water, Paraffinum Liquidum, Propylene Glycol, Glycerin, Caprylic/capric Triglyceride, Polyacrylate & Polyisobutene & Polysorbate 20, Mandelic Acid, Carbomer, Caprylhydroxamic Acid (and) Phenoxyethanol (and) Methylpropanediol, Cetearyl Alcohol, Sodium Ascorbate (and) Citrus Medica Limonum (Lemon) Fruit Extract (and) Polyvinylalcohol Crosspolymer (and) Propilenglycol, Vitis Vinifera (Grape) Fruit Extract, Sodium Hydroxide, Polysorbate 60, Tocopheryl Acetate, ButylHydroxytoluene, Tet rasodium Edta, Ethy l hexy lglycer i n, Hydrolyzed Collagen, Dimethy lmethox y Chromanyl Palmitate, Parfum.","Chromabright® 
Vitamina C y E
Colágeno
Polifenoles de UVA ","Su fórmula contiene activos innovadores, exclusivos y sinérgicos: Chromabright®, activo blanqueador que regula el proceso de pigmentación de la piel mediante la reducción de la actividad de la tirosinasa; una enzima clave que cataliza las dos primeras reacciones de la síntesis de melanina, responsable del color de la piel. Unifica visiblemente y de forma segura la piel al tiempo que retrasa el fotoenvejecimiento. No fotosensibilizante. Apto para usar todo el año. Posee además un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA combinados con nanoesferas de Vitamina C y Vitamina E. Esta asociación potencia la acción despigmentante de Chromabright®. Su textura fluída y de rápida absorción aporta hidratación y luminosidad.","Hipoalergénica 
Sin Parabenos
Clínica y dermatológicamente testeado
Cruelty Free",Pomo x 30 ml,36,28,135,45
Dermocosmética,Clarité,Pigmentación,Manchas; Contorno de Ojos,1600202,7798182770806,Clarité Contorno de Ojos,Crema despigmentante para contorno de ojos. Atenúa bolsas y ojeras. Antioxidante,Clarité contorno de ojos es una crema despigmentante que atenúa manchas y unifica el tono de la piel otorgándole luminosidad. Reduce visiblemente bolsas y ojeras. Cuidado diario ideal para contorno de ojos hiperpigmentados y oscuros.,Aplicar Clarité contorno de ojos sobre la piel limpia y seca con suaves masajes ascendentes sobre el hueso periocular. Para alcanzar efectividad máxima aplicar dos veces al día (mañana y noche). Se recomienda utilizar el producto diariamente durante 60-90 días como mínimo para resultados visibles. Complementar con protección solar.,"Water, Hydrolyzed Collagen, Propylene Glycol, Glycerin, Carbomer, Caprylic/capric, Triglyceride, Paraffinum Liquidum, Polysorbate 60, Cetearyl Alcohol, Dimethylmethoxy Chromanyl Palmitate, Tocopheryl Acetate, Butyl Hydroxytoluene, Tetrasodium Edta, Sodium Hydroxide, Polyacrylate 13 & Polyisobutene & Polysorbate 20, Phenoxyethanol, Ethylhexylglycerin, Sodium Ascorbate (And) Citrus Medica Limonum (Lemon) Fruit Extract (And) Polyvinylalcohol Crosspolymer (And) Propilenglycol, Hydrolyzed Rice Bran Protein, glycine Soja (Soybean) Protein, Superoxide Dismutase, Vitis Vinifera (Grape) Fruit Extract.","Chromabright®
Regu® Age 3%
Polifenoles de UVA","Su fórmula contiene activos innovadores, exclusivos y sinérgicos: Chromabright® activo blanqueador que regula el proceso de pigmentación de la piel mediante la inhibición de la tirosinasa, una enzima clave que cataliza las dos primeras reacciones de la síntesis de melanina, responsable del color de la piel. Unifica visiblemente y de forma segura la piel al tiempo que retrasa el fotoenvejecimiento. No fotosensibilizante. Apto para usar todo el año. Regu® Age activo que combina péptidos de arroz y soja y SOD (súper oxido dismutasa). Mejora la microcirculación capilar para reducir bolsas y ojeras. Protege del estrés oxidativo a la vez que refuerza y protege la matriz de colágeno y elastina de la delicada y delgada piel del contorno de ojos. Posee además un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA.","Hipoalergénica 
Sin Parabenos
Clínica y dermatológicamente testeado
Cruelty Free",Airless x 15 gr,35,28,115,40
