Marca,Nombre,Gr/Ml/Un,EAN,Categoría,Sub-categoria,Zona,Descripcion - Larga,Key words
Cetaphil,Crema de manos Healthy Hygiene 50gr,50gr,7897930761940,Dermocosmética,Hidratante,Cuerpo,"¿Para quién?
Alivia los signos de sensibilidad de la piel después del lavado de manos para dejar las manos con una sensación suave, tersa y reconfortadas.
¿Para que la utilizamos?
La Crema Healthy Hygiene reduce los sintomas de la piel extremadamente seca en 7 días manteniendolas hidratadas y suaves.
¿Cuándo las usamos?
Aplicar la crema varias veces en el día y principalmente luego del lavado de las manos.",Hidratante; Crema de manos; Crema; Healthy Hygiene; Cetaphil
Cetaphil,PRO Urea 10% 300 ml,300 ml,7897930777620,Dermocosmética,Hidratante,Cuerpo,"¿Para quién?
Para personas con la piel extra seca y descamada. 
¿Para que la utilizamos?
La loción reduce la sensación de malestar y sequedad en la piel desde el primer día de uso. 
Fórmula especializada que libera lentamente los activos hidratantes. 
La fórmula ayuda a reducir la aspereza, suaviza la piel descamada y fortalece la barrera cutánea, para que la piel se sienta aliviada, suave y menos propensa a irritaciones.
Contiene nuestro exclusivo HydroSensitiv ™ Complex con calmante margarita azul para profundizar la hidratación dinámica y calmar la piel para mejorar la calidad de la piel sensible con el tiempo.
¿Cuándo las usamos?
Aplique de forma uniforme en las áreas afectadas 3 veces al día.",Hidratante; Hidratante corporal; urea; Emulsión; Crema nutritiva; Piel sensible; Piel seca; Piel extra seca
Cetaphil,Sérum Corporal en spray Optimal Hydration 207ml,207ml,3499320012553,Dermocosmética,Hidratante,Cuerpo,"¿Para quién?
Para personas con la piel sensible, seca y deshidratada
¿Para que la utilizamos?
Este sérum corporal liviano y no graso repone en profundidad la hidratación de la piel durante 48 horas y mejora la calidad general de la piel. Formulado con ácido hialurónico para calmar de inmediato y reponer en profundidad la piel sensible seca y deshidratada.
Contiene nuestro exclusivo HydroSensitiv ™ Complex con calmante margarita azul para profundizar la hidratación dinámica y calmar la piel para mejorar la calidad de la piel sensible con el tiempo.
¿Cuándo las usamos?
En la rutina de cuidado facial y corporal
",Hidratante; Hidratante día; Crema corporal; Crema nutritiva; Acido hialurónico; Piel sensible; Piel seca
Cetaphil,Crema Hidratante Facial Optimal Hydration 48 gr,48 gr,3499320011655,Dermocosmética,Hidratante,Facial,"¿Para quién?
Para personas con la piel sensible, seca y deshidratada
¿Para que la utilizamos?
Esta crema liviana y no grasa repone en profundidad la hidratación de la piel durante 48 horas y mejora la calidad general de la piel. Formulado con ácido hialurónico para calmar de inmediato y reponer en profundidad la piel sensible seca y deshidratada.
Contiene nuestro exclusivo HydroSensitiv ™ Complex con calmante margarita azul para profundizar la hidratación dinámica y calmar la piel para mejorar la calidad de la piel sensible con el tiempo.
¿Cuándo las usamos?
En la rutina de cuidado facial de día
",Hidratante; Hidratante día; Crema facial; Crema nutritiva; Acido hialurónico; Piel sensible; Piel seca
Cetaphil,Crema Hidratante Facial Noche Optimal Hydration 48 gr,48 gr,3499320011617,Dermocosmética,Hidratante,Facial,"¿Para quién?
Para personas con la piel sensible, seca y deshidratada
¿Para que la utilizamos?
Esta crema  nutritiva y no grasa repone en profundidad la hidratación de la piel durante 48 horas y mejora la calidad general de la piel. Formulado con ácido hialurónico para calmar de inmediato y reponer en profundidad la piel sensible seca y deshidratada.
Contiene nuestro exclusivo HydroSensitiv ™ Complex con calmante margarita azul para profundizar la hidratación dinámica y calmar la piel para mejorar la calidad de la piel sensible con el tiempo.
¿Cuándo las usamos?
En la rutina de cuidado facial de noche",Hidratante; Hidratante noche; Crema facial; Crema nutritiva; Acido hialurónico; Piel sensible; Piel seca
Cetaphil,Sérum de ojos Optimal Hydration 15ml,15 ml,3499320011389,Dermocosmética,Hidratante,Facial,"¿Para quién?
Para personas con la piel sensible, seca y deshidratada
¿Para que la utilizamos?
Sérum para ojos que reduce la apariencia de ojeras y piel hinchada para una apariencia renovada. Formulada con ácido hialurónico, esta crema repone en profundidad la hidratación de la piel durante 48 horas y mejora la calidad general de la piel sensible.
Contiene nuestro exclusivo HydroSensitiv ™ Complex con calmante margarita azul para profundizar la hidratación dinámica y calmar la piel para mejorar la calidad de la piel sensible con el tiempo.
¿Cuándo las usamos?
En la rutina de cuidado facial en el día y noche
",Hidratante; Hidratante día; Sérum; Cuidado ojos; Acido hialurónico; Piel sensible; Piel seca
Cetaphil,Water Gel Restaurador 48gr,48 gr,3499320014540,Dermocosmética,Hidratante,Facial,"Se ha demostrado clínicamente que un gel de agua refrescante y sin peso aumenta instantáneamente el contenido de agua de la piel e hidrata durante 72 horas. Brinda hidratación inmediata para ayudar a aliviar la piel tirante, áspera y sensible. Está clínicamente probado que fortalece la barrera de humedad de la piel y mejora la calidad de la piel sensible con el tiempo. Formulado con tecnología de liberación lenta que contiene ácido hialurónico combinado con ácido poliglutámico para brindar una hidratación duradera.","Hidratante, Piel sensible, Restaurador"
Cetaphil,Sérum facial 48hs Optimal Hydration 30ml,30 ml,3499320011686,Dermocosmética,Hidratante,Facial,"¿Para quién?
Para personas con la piel sensible, seca y deshidratada
¿Para que la utilizamos?
Este serum ligero se absorbe instantáneamente reponiendo profundamente la hidratación de la piel durante 48 horas y mejorando la calidad general de la piel sensible. Formulado con ácido hialurónico más aceite de semilla de girasol para potenciar la textura y restaurar la apariencia radiante de la piel.
Contiene nuestro exclusivo HydroSensitiv ™ Complex con calmante margarita azul para profundizar la hidratación dinámica y calmar la piel para mejorar la calidad de la piel sensible con el tiempo.
¿Cuándo las usamos?
En la rutina de cuidado facial en el día y noche
",Hidratante; Hidratante día; Sérum; Cuidado ojos; Acido hialurónico; Piel sensible; Piel seca
Cetaphil,Desmaquillante suave 150 ml,150 ml,3499320012201,Dermocosmética,Limpieza,Facial,"¿Para quién?
Para retirar el maquillaje, incluso el a prueba de agua.
¿Para que la utilizamos?
Limpiador bifasico apto para pieles sensibles que remueve todo tipo de maquillaje, mientras hidrata la piel y fortalece las pestañas.
¿Cuándo las usamos?
En la rutina diaria de limpieza facial
",Limpiador; Bifaz; Bifásico; Desmaquillante; Piel sensible; Cetaphil
Cetaphil,Limpiador líquido de manos x 237ml,237 ml,3499320011334,Dermocosmética,Limpieza,Corporal,"¿Para quién?
Para personas con la piel de las manos sensible, que busquen un limpiador específico que no reseque la piel luego de sucesivos lavados.
¿Para que la utilizamos?
Limpia suavemente eliminando el 99,9% de las bacterias y eliminando eficazmente los gérmenes nocivos.
Respeta el PH de la piel y es libre de fragancia.
Dermatológicamente testeado.

¿Cuándo las usamos?
En remplazo del jabón de manos tradicional.
",Jabón de manos; Jabon; limpiador; Cetaphil; Antibacterial; Antiseptico
Cetaphil,Gel de baño Ultra Suave x 500ml,500 ml,7640203242864,Dermocosmética,Limpieza,Corporal,"¿Para quién?
¡Toda la familia! Con piel sensible y seca que busquen un limpiador que no reseque la piel a la hora de la ducha.
¿Para que la utilizamos?
Limpia suavemente mientras mantiene la barrera natural de la piel.
Con Aloe Vera, Vitamina B5 y una combinación única de hidratantes que dejan tu piel limpia, fresca e hidratada durante y luego de la ducha.
No comedogénico, hipoalergénico y libre de fragancia.
Dermatológicamente testeado.

¿Cuándo las usamos?
En la ducha como el reemplazo del jabón
",Limpiador; Showe gel; Gel de ducha; Jabón; Piel sensible; Cetaphil
Cetaphil,Exfoliante Ultra Suave x 178ml (discontinuado),178 ml,7640203240242,Dermocosmética,Limpieza,Facial,"¿Para quién? Para todos! Mujeres y hombres con una piel normal a muy sensible, que desean exfoliarse de forma suave eliminando la suciedad, el aceite y las impurezas.  ¿Que le propone?: Exfolia suavemente con micro-partículas para remover impurezas, sin secar ni irritar la piel, Ayuda a mejorar la tetura para revelar una piel saludable y brillante, Con extracto de bambu en Microparticulas para una limpieza suave
Hipoalergénico y no comedogénico. Único Exfoliante de uso diario, incluso en pieles sensibles!!
¿Cuándo las usamos? Por las mañanas o las noches. 
 Modo de uso :Masajear con suavidad en el rostro húmedo, evitando la zona de los ojos. Enjuagar con abundante agua.",Limpiador; Exfoliante; Piel sensible; Cetaphil
Cetaphil,Espuma de limpieza Suave x 236ml,236 ml,3499320009775,Dermocosmética,Limpieza,Facial,"¿Para quién? Para todos! Mujeres y hombres con una piel normal a muy sensible, que desean limpiarse el rostro de forma suave. ¿ Que le propone? •Es un limpiador facial suave que elimina la suciedad, el aceite y el maquillaje sin esfuerzo.  •Espuma aireada que se enjuaga fácilmente. •Remueve efectivamente la suciedad. •Con pantenol para limpiar sin eliminar la humedad de la piel. •Sin perfume, hipoalergénico y no comedogénico. ¿Cuándo lo usamos? Por las mañanas o las noches. 
Modo de uso: Masajear con suavidad en el rostro húmedo, evitando la zona de los ojos. Enjuagar con abundante agua.",Limpiador; Espuma; Desmaquillante; Piel sensible; Cetaphil
Cetaphil,Barra de Limpieza Profunda x 127gr,127 gr,3499320008341,Dermocosmética,Limpieza,Facial / Corporal,"Cetaphil barra de limpieza profunda, es un limpiador suave, sustituto del jabón tradicional,  libre de detergentes y sustancias que pueden secar o irritar la piel y además respeta la capa protectora de la piel.
¿Para quién?
Para todos! Mujeres y hombres con una piel normal a muy sensible, que desean una limpieza facial y corporal que remueve la suciedad, el aceite y las impurezas.  
¿ Que le propone Cetaphil – Barra de limpieza profunda? 
Limpia profundamente la piel creando una barrera contra las impurezas 
Remueve la suciedad, aceites y otras impurezas 
Mantiene la piel limpia, humectada y fresca
Nutre la piel sin dejar residuos
No reseca ni irrita la piel
No comedogénica / Libre de fragancia / Hipoalergénica
 Modo de uso: Higiene diaria, Aplicar sobre la piel húmeda. Masajear suavemente. Enjuagar.","Limpiador; Jabón; Jabón para el rostro, Barra, Dermolimpiador Piel sensible"
