EAN,BU,Marca/Línea de producto,Área de aplicación,Formato,Título etailers ,Título Web ,Beneficios ,Claim de marca (español Argentina),Descripción extendida ,Te puede interesar,Como se usa,Organic Keywords (español Argentina),Ingredientes Principales (español Argentina),Nombre del material (español Argentina),Product claim (español Argentina),Descripción corta (español Argentina),Textura,Alto del embalaje,Alto del producto,Ancho del embalaje,Ancho del producto,Material ID
8429420077959,Foto,FOTOULTRA,Facial,Tottle,ISDIN FotoUltra SOLAR ALLERGY SPF99 50ML - Protector solar para la alergia solar,Foto Ultra ISDIN Solar Allergy Fusion Fluid SPF 99+ 50ml,"Alivia los síntomas asociados a la alergia solar, como el picor y la inflamación, y protege frente la luz visible.
  Ofrece una protección 2 veces superior al mínimo requerido en un protector solar SPF 50+ frente a los rayos UVA.
  Con ectoína al 1%, que proporciona un efecto hardening
  a la piel, haciéndola más resistente frente a las agresiones
  de la radiación UV.
  Su textura Fusion Fluid se funde con tu piel.",Previene y alivia los síntomas asociados a la alergia solar u otros tipos de fotodermatosis.,"Foto Ultra ISDIN Solar Allergy Fusion Fluid SPF 99+, Previene y alivia de los síntomas asociados a la alergia solar y otros tipos de fotodermatosis. Especialmente indicado para pieles reactivas al sol.","Alivia los síntomas asociados a la alergia solar, como el picor y la inflamación, y protege frente la luz visible.

Ofrece una protección 2 veces superior al mínimo requerido en un protector solar SPF 50+ frente a los rayos UVA.

Con ectoína al 1%, que proporciona un efecto hardening
a la piel, haciéndola más resistente frente a las agresiones
de la radiación UV.

Su textura Fusion Fluid se funde con tu piel.","Aplicar el producto sobre la piel limpia e intacta 2 veces
  al día. Reaplicar cada 2 horas mientras se esté expuesto
  al sol.
  
  Empezar el tratamiento 15-30 días antes de la exposición
  al sol y continuar durante todo el período de exposición.
  
  En pacientes que estén tomando medicamentos fotosensibilizantes: aplicar durante todo el período
  de exposición.","
protector, solar, alergia, sol, spf100, fotodermatosis, farmacia, crema, tratamiento","Filtros UVB-UVA, Ectoina, Bisabolol, Acetato de tocoferilo, Pantenol, Excipientes cs",FOTOULTRA solar allergy 100+ 50ml c/f,Previene y alivia los síntomas asociados a la alergia solar.,"Foto Ultra ISDIN Solar Allergy Fusion Fluid SPF 99+, Previene y alivia los síntomas asociados a la alergia solar. El único con UVA 40 y SPF 107",Crema,119.0,103.0,148.0,33.0,690007795
8470001509802,Derma,ACNIBEN,Facial,Tube,ISDIN Acniben Repair Renovador Labial 10ML - Bálsamo labial para pieles sometidas a tratamientos antiacneicos,Acniben Repair Renovador labial Bálsamo,"Hidrata, protege y ayuda a aliviar y reparar los labios de forma intensa, rápida y prolongada","Repara, renueva e hidrata tus labios de forma intensa y prolongada","Bálsamo labial. Con agentes hidratantes, reparadores y Calmoactive® actúa, gracias a su tecnología Filmprolong Technology®, hidratando, protegiendo, y ayudando a aliviar y reparar de forma intensa, rápida y prolongada los labios. Recomendado para la hidratación y reparación intensiva diaria de los labios fragilizados por tratamientos antiacnéicos.","Hidrata, protege y ayuda a aliviar y reparar los labios de forma intensa, rápida y prolongada",Aplicar a diario sobre los labios tantas veces como sea necesario.,"
balsamo, reparador, labial, hidratante, reparador, agrietados","Calmoactive.
Ácido hialurónico.
Manteca de Karité.",ACNIBEN REPAIR LIP BALM 10ML,"Repara, renueva e hidrata tus labios de forma intensa y prolongada","Hidratación, reparación y protección diaria de los labios agredidos por tratamientos antiacneicos.",Balsamo,110.0,97.0,144.0,27.0,690011610528
8470002000704,Derma,ACNIBEN,Facial,Tube,ACNIBEN REPAIR GEL CREAM 40ML,ACNIBEN REPAIR GEL CREAM 40ML,"Ayuda a reducir la sequedad, la irritación y la descamación.Hidrata de forma intensa y prolongada gracias a su fórmula específica con calmoactive, glicerina y ácido hialurónico.Rápida absorción, sin dejar residuos grasos.Sin perfumes ni conservantes.","Hidrata, protege, y ayuda a reparar de forma intensa y rápida las pieles fragilizadas","Gel crema hidratante facial. Las pieles sometidas a tratamientos antiacnéicos que resecan e irritan la piel, presentan manifestaciones de sequedad y des-camación, por lo que requieren de una hidratación y cuidados específicos. 
Acniben® Repair Hidratante, Aliviante y Reparador con agentes hidratantes y Calmoactive®, complejo favorecedor de la autodefensa cutánea, hidrata, protege, y ayuda a reparar de forma intensa y rápida las pieles fragilizadas como consecuencia de algunos tratamientos dermatológicos. Recomendado para la hidratación y cuidado de las pieles sometidas a tratamientos antiacnéicos.","Ayuda a reducir la sequedad, la irritación y la descamación.Hidrata de forma intensa y prolongada gracias a su fórmula específica con calmoactive, glicerina y ácido hialurónico.Rápida absorción, sin dejar residuos grasos.Sin perfumes ni conservantes.","Aplicar a diario cantidad suficiente de gel crema sobre el área a hidratar y cuidar, masajeando hasta su completa absorción.","acné, piel grasa, piel mixta, crema reparadora","Calmoactive.
Glicerina.
Ácido hialurónico.",ACNIBEN REPAIR GEL CREAM 40ML,"Hidrata, protege, y ayuda a reparar de forma intensa y rápida las pieles fragilizadas",Indicado para el cuidado específico de la piel sometida a tratamientos antiacné.,Gel Crema,149.0,133.0,192.0,35.0,690011931528
8470001532435,Derma,UREADIN,Corporal,Bottle,ISDIN Ureadin Hidratación Intensa Ultra10 Lotion Plus Reparadora 200ML,Ureadin Ultra10,"Loción corporal hidratante y reparadora para la piel muy seca y descamativa. 
- Hidrata intensamente: Urea Isdin® retiene el agua y restablece los niveles óptimos de hidratación gracias a su acción combinada con el dexpantenol. 
- Ayuda a aliviar el picor provocado por la sequedad. 
- Restaura la barrera cutánea: Urea Isdin® estimula el correcto desarrollo de las células de la epidermis y aumenta la síntesis de péptidos antimicrobianos AMPs que ayudan a reforzar el sistema de defensa cutáneo
Adyuvante en la mejora de los signos de la xerosis.",Loción Plus corporal hidratante y reparadora para la piel muy seca y descamativa,"Loción corporal hidratante y reparadora para la piel muy seca y descamativa. 
- Hidrata intensamente: la Urea Isdin® retiene el agua y restablece los niveles óptimos de hidratación gracias a su acción combinada con el dexpantenol. 
- Ayuda a aliviar el picor provocado por la sequedad. 
- Restaura la barrera cutánea: la Urea Isdin® estimula el correcto desarrollo de las células de la epidermis y aumenta la síntesis de péptidos antimicrobianos AMPs que ayudan a reforzar el sistema de defensa cutáneo
Adyuvante en la mejora de los signos de la xerosis.","Loción corporal hidratante y reparadora para la piel muy seca y descamativa. 
- Hidrata intensamente: la Urea Isdin® retiene el agua y restablece los niveles óptimos de hidratación gracias a su acción combinada con el dexpantenol. 
- Ayuda a aliviar el picor provocado por la sequedad. 
- Restaura la barrera cutánea: la Urea Isdin® estimula el correcto desarrollo de las células de la epidermis y aumenta la síntesis de péptidos antimicrobianos AMPs que ayudan a reforzar el sistema de defensa cutáneo
Adyuvante en la mejora de los signos de la xerosis.","Aplicar una o dos veces al día sobre la piel limpia y seca, insistiendo en las zonas más secas, hasta su completa absorción. Para mejores resultados, recomendamos su uso combinado con Ureadin Bath Gel",,"Urea ISDIN 10%.
Dexpantenol 3%
Emolientes",UREADIN Ultra 10 lotion plus 200ml,Loción Plus corporal hidratante y reparadora para la piel muy seca y descamativa,"- Hidrata intensamente 
- Ayuda a aliviar el picor provocado por la sequedad
- Restaura la barrera cutánea",Loción,190.0,175.0,208.0,38.0,690012058528
8470001699664,Foto,FOTOPROTECCION,Facial,Pump,ISDIN Fotoprotector Gel Cream DRY TOUCH SPF50 50ML - Protector solar facial matificante,Fotoprotector ISDIN Gel Cream Dry Touch SPF 50+ 50ml,"Proporciona un efecto matificante, con toque seco ideal para la piel normal, mixta y grasa
  
  Unifica el tono y disimula las imperfecciones
  
  No comedogénico.","Protección diaria para la piel normal, mixta y grasa","BB Cream con toque seco y mate.
  Protección diaria para la piel normal, mixta y grasa.","Proporciona un efecto matificante, con toque seco ideal para la piel normal, mixta y grasa

Unifica el tono y disimula las imperfecciones

No comedogénico.","Aplicar generosamente sobre la piel seca, media hora antes de la exposición solar. Reaplicar cada 2 horas, así como tras transpirar, nadar o secar con la toalla. Aplicar 2mg/cm² de producto. Al reducir esta dosis, se reduce el factor de protección.","
protector, protector solar, protector facial, efecto mate, efecto seco, acabado mate","Aqua (Water), Alcohol Denat., Octocrylene, C12-15 Alkyl Benzoate, Butyl Methoxydibenzoylmethane, Dibutyl Adipate, Talc, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Cyclopentasiloxane, Tromethamine, Cyclohexasiloxane, Ammonium Acryloyldimethyltaurate/VP Copolymer, Cellulose, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol [nano], Phenylbenzimidazole Sulfonic Acid, Polymethylsilsesquioxane, Polyacrylamide, PEG-40 Hydrogenated Castor Oil, C13-14 Isoparaffin, Carbomer, Panthenol, Tocopheryl Acetate, Parfum (Fragrance), Decyl Glucoside, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Disodium EDTA, Laureth-7, BHT, Sodium Lauroyl Glutamate, Linalool, Lysine, Propylene Glycol, Magnesium Chloride",FOTOP gel cream dry touch s/col 50+ 50ml,Fotoprotector BB Cream con toque seco y mate.,"BB Cream con toque seco y mate.
Protección diaria para la piel normal, mixta y grasa.",Gel Crema,152.0,138.0,191.0,37.0,690012300528
8470001631718,Foto,FOTOPROTECCION,Facial,Pump,ISDIN Fotoprotector Gel Cream DRY TOUCH COLOR SPF50 50ML - Protector solar facial BB Cream,Fotoprotector ISDIN Gel Cream Dry Touch COLOR SPF 50+ 50ml,"Corrige y difumina las imperfecciones, hidrata e Ilumina
  
  Proporciona un efecto matificante, con toque seco, ideal para la piel normal, mixta y grasa. Reduce los brillos no deseados de la piel, una vez absorbido, desaparece, sin dejar residuo. 
  
  Apto para piel sensible. No comedogénico. No sensibilizante. Resistente al agua. Testado dermatológicamente. Fórmula biodegradable.","Fotoprotector BB Cream con toque seco, mate y que aporta color","Fotoprotección diaria con color, para la piel normal, mixta y grasa. Su textura con color ofrece las propiedades de una BB Cream.","Corrige y difumina las imperfecciones, hidrata e Ilumina

Proporciona un efecto matificante, con toque seco, ideal para la piel normal, mixta y grasa. Reduce los brillos no deseados de la piel, una vez absorbido, desaparece, sin dejar residuo. 

Apto para piel sensible. No comedogénico. No sensibilizante. Resistente al agua. Testado dermatológicamente. Fórmula biodegradable.","Aplicar generosamente sobre la piel seca, media hora antes de la exposición solar. Aplicar 2mg/cm² de producto; al reducir esta dosis, se reduce el factor de protección.
  
  Reaplicar cada 2 horas, así como tras transpirar, nadar o secarse con toalla.","
protector, protector solar, efecto mate, protector con color, protector facial, efecto seco, acabado mate","Aqua (Water), Alcohol Denat., Octocrylene, C12-15 Alkyl Benzoate, Butyl Methoxydibenzoylmethane, Dibutyl Adipate, Talc, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Cyclopentasiloxane, Tromethamine, Cyclohexasiloxane, Ammonium Acryloyldimethyltaurate/VP Copolymer, Cellulose, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol [nano], Phenylbenzimidazole Sulfonic Acid, Polymethylsilsesquioxane, Polyacrylamide, PEG-40 Hydrogenated Castor Oil, C13-14 Isoparaffin, Carbomer, Panthenol, Tocopheryl Acetate, Parfum (Fragrance), Decyl Glucoside, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Disodium EDTA, Laureth-7, BHT, Sodium Lauroyl Glutamate, Linalool, Lysine, Propylene Glycol, Magnesium Chloride",FOTOP gel cream dry touch color 50+ 50ml,Fotoprotector BB Cream con color con toque seco y mate,Fotoprotector BB Cream con toque seco y mate,Gel Crema,152.0,138.0,191.0,37.0,690012301528
8429420104518,Derma,UREADIN,Corporal,Pump,ISDIN Ureadin Hidratación Intensa Ultra10 Lotion Plus Reparadora 400ML,Ureadin Ultra10,"Loción corporal hidratante y reparadora para la piel muy seca y descamativa. 
- Hidrata intensamente: Urea Isdin® retiene el agua y restablece los niveles óptimos de hidratación gracias a su acción combinada con el dexpantenol. 
- Ayuda a aliviar el picor provocado por la sequedad. 
- Restaura la barrera cutánea: Urea Isdin® estimula el correcto desarrollo de las células de la epidermis y aumenta la síntesis de péptidos antimicrobianos AMPs que ayudan a reforzar el sistema de defensa cutáneo
Adyuvante en la mejora de los signos de la xerosis.",Loción Plus corporal hidratante y reparadora para la piel muy seca y descamativa,"Loción corporal hidratante y reparadora para la piel muy seca y descamativa. 
- Hidrata intensamente: la Urea Isdin® retiene el agua y restablece los niveles óptimos de hidratación gracias a su acción combinada con el dexpantenol. 
- Ayuda a aliviar el picor provocado por la sequedad. 
- Restaura la barrera cutánea: la Urea Isdin® estimula el correcto desarrollo de las células de la epidermis y aumenta la síntesis de péptidos antimicrobianos AMPs que ayudan a reforzar el sistema de defensa cutáneo
Adyuvante en la mejora de los signos de la xerosis.","Loción corporal hidratante y reparadora para la piel muy seca y descamativa. 
- Hidrata intensamente: la Urea Isdin® retiene el agua y restablece los niveles óptimos de hidratación gracias a su acción combinada con el dexpantenol. 
- Ayuda a aliviar el picor provocado por la sequedad. 
- Restaura la barrera cutánea: la Urea Isdin® estimula el correcto desarrollo de las células de la epidermis y aumenta la síntesis de péptidos antimicrobianos AMPs que ayudan a reforzar el sistema de defensa cutáneo
Adyuvante en la mejora de los signos de la xerosis.","Aplicar 1 ó 2 veces al día sobre la piel hasta su completa absorción.Para mejores resultados, recomendamos su uso combinado con Ureadin Bath Gel.","locion, crema corporal, crema hidratante, urea, crema con urea, emulsión, crema","Urea ISDIN 10%.
Dexpantenol 3%: restaura la piel, mitiga el picor y mejora la función barrera.
Emolientes: restablecen el nivel lipídico de la barrera cutánea.",UREADIN Ultra 10 lotion plus 400ml c/f,Loción Plus corporal hidratante y reparadora para la piel muy seca y descamativa,"- Hidrata intensamente 
- Ayuda a aliviar el picor provocado por la sequedad
- Restaura la barrera cutánea",Loción,223.0,224.0,212.0,58.0,690012328
8470003245920,Derma,ACNIBEN,Facial,Tube,ISDIN Acniben Control de brillos y granos 40ML -  Gel crema facial para piel grasa con tendencia acneica,Acniben Control de brillos y granos Gel crema,Acniben Control de Brillos y Granos es un gel crema facial de textura ligera y no grasa que matiﬁca la piel y ayuda a reducir los granitos.,Gel crema facial que controla los brillos y ayuda a reducir los granitos,"Acniben Control de Brillos y Granos es un gel crema facial de textura ligera y no grasa que matiﬁca la piel y ayuda a reducir los granitos. Formulado con Zincamida®, regulariza el exceso de sebo y ayuda a minimizar las imperfecciones, aportando hidratación y equilibrio a tu piel. Recomendado para el cuidado de las pieles grasas y con tendencia acneica.",Acniben Control de Brillos y Granos es un gel crema facial de textura ligera y no grasa que matiﬁca la piel y ayuda a reducir los granitos.,Aplícalo mañana y/o noche por todo el rostro tras limpiar tu piel. Masajea suavemente hasta su completa absorción,"
secar, granos, acné hormonal, crema secante, crema matificante, acné, ganitos","Zincamida.
Ácido láctico.
Arginina.
Glicerina.
Ácido hialurónico.
Calmoactive.",TEEN SKIN ACNIBEN cont brillos gran 40ml,Gel crema facial que controla los brillos y ayuda a reducir los granitos,Ayuda a reducir las imperfecciones y matifica tu piel grasa o con tendencia acneica,Crema,149.0,133.0,192.0,35.0,690012668528
8470003245913,Derma,ACNIBEN,Facial,Pump,ISDIN Acniben Purifying Cleanser 150ML - Limpiador facial purificante espuma para piel grasa/tendencia acneica,Acniben limpiador purificante,Limpia y purifica la piel. Regulariza el exceso de sebo y brillos. Ayuda a minimizar las imperfecciones y rojeces cutáneas.,Espuma que limpia en profundidad y purifica la piel,"Gel limpiador facial. Elimina el exceso de sebo y purifica la piel. Los productos Acniben® con Zincamida®, regularizan el exceso de sebo y brillo, ayudan a minimizar las imperfecciones y rojeces cutáneas con suavidad. Recomendado para la higiene y cuidado diario de las pieles grasas y con tendencia acnéica que presenten rojeces e imperfecciones cutáneas.",Limpia y purifica la piel. Regulariza el exceso de sebo y brillos. Ayuda a minimizar las imperfecciones y rojeces cutáneas.,"Utilizala mañana y noche como primer paso de tu rutina facial. Presiona el dosiﬁcador para poner un poco de espuma en tus manos. Aplicala sobre la piel húmeda de cara y cuello, y masajea en círculos. Enjuaga bien.","
elimina, exceso, sebo, piel grasa, sensible, deshidratada, espuma","Zincamida.
Calmoactive.
Trimetilglicina.
Tensioactivo syndet.
Ácido láctico.
Arginina.",TEEN SKIN ACNIBEN Limp purificante 150ml,Espuma que limpia en profundidad y purifica la piel,Limpia los poros en profundidad y regulariza el exceso de sebo,Espuma,189.0,173.0,156.0,48.0,690012670528
8429420135611,RX,ITRAGERM,Oral,Capsules,ISDIN Itraisdin 50mg 14 cápsulas - Antifungico,Itraisdin 50mg 14 cápsulas,"Menos sustancia activa. Más absorción, más confiabilidad, más confort del paciente.",,Itraconazol con tecnología SUBA,,,,Itraconazol 50mg,ITRAISDIN 50MG CAPS 14U,"Menos sustancia activa. Más absorción, más confiabilidad, más confort del paciente.",Antifúngico. Interfiere en la síntesis proteica de ergosterol en células micóticas.,Cápsula,145.0,122.0,195.0,21.0,690013561
