CATEGORIA ,MARCA ,FRANQUICIA ,SUBFRANQUICIA ,EAN ,TITULO ECOMMERCE,TIPO DE PRODUCTO ,DESCRIPCIÓN LARGA,BENEFICIOS ,MODO DE APLICACIÓN,CROSSELLING,KEY WORD PARA SEARCH,HIPOALERGENICO,TIPO DE PELO,USO ,Pack Size,Pack Size UOM,Pack Size UOM
HAIR CARE ,GARNIER,FRUCTIS ,Goodbye Daños ,7509552823868,Shampoo Fructis Goodbye Daños  200ml ,Shampoo,"¿Pelo dañado? Fructis Goodbye Daños, con amla y biotina, refuerza el pelo y repara visiblemente el daño hasta las puntas. 84% de las puntas abiertas reparadas. Sin parabenos. 
Garnier está comprometido con Green Beauty. El shampoo de Goodbye Daños tiene fórmula vegana, es Cruelty Free y sus botellas están hechas con plástico 100% reciclado. 
Probá la rutina completa de shampoo, acondicionador y crema para peinar. 
Consejo de uso: Aplicá el shampoo sobre el pelo húmedo masajeando suavemente. Dejá actuar y enjuagá con abundante agua. Usá el acondicionador y crema para peinar de Goodbye daños para una mayor reparación del daño. 
Todos los productos de Fructis son reciclables. Enjuagalos, separalos y dejalos en un contenedor/campana verde o punto verde. TIP: si podés, sacales la etiqueta.","Limpia, nutre e hidrata ","Aplicar el shampoo sobre el cabello húmedo masajeando suavemente. Dejar actuar, enjuagar y reetir cuanto sea necesario. Posteriormente usar el acondicionador y la crema para peinar.",7509552823912 7509552805383 7509552908701,"shampoo goodbye daños garnier, champu fructis anti daños, garnier fructis daño capilar, champu reparador de daños en el cabello, cuidado capilar garnier , shampo good bye daños",No,pelo dañado ,Diario ,200,ml,https://loreal.sharepoint.com/:f:/r/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/General/Contenido%20Loreal%20Consumo%20Masivo/Categor%C3%ADas/1.%20HAIR%20CARE/FRUCTIS/GOODBYE%20DA%C3%91OS/2.%20A+%20CONTENT/SH200?csf=1&web=1&e=QHI6FA
HAIR CARE ,GARNIER,FRUCTIS ,Goodbye Daños ,7509552823806,Shampoo Fructis Goodbye Daños 350ml ,Shampoo,"¿Pelo dañado? Fructis Goodbye Daños, con amla y biotina, refuerza el pelo y repara visiblemente el daño hasta las puntas. 84% de las puntas abiertas reparadas. Sin parabenos. 
Garnier está comprometido con Green Beauty. El shampoo de Goodbye Daños tiene fórmula vegana, es Cruelty Free y sus botellas están hechas con plástico 100% reciclado. 
Probá la rutina completa de shampoo, acondicionador y crema para peinar. 
Consejo de uso: Aplicá el shampoo sobre el pelo húmedo masajeando suavemente. Dejá actuar y enjuagá con abundante agua. Usá el acondicionador y crema para peinar de Goodbye daños para una mayor reparación del daño. 
Todos los productos de Fructis son reciclables. Enjuagalos, separalos y dejalos en un contenedor/campana verde o punto verde. TIP: si podés, sacales la etiqueta.","Limpia, nutre e hidrata ","Aplicar el shampoo sobre el cabello húmedo masajeando suavemente. Dejar actuar, enjuagar y reetir cuanto sea necesario. Posteriormente usar el acondicionador y la crema para peinar.",7509552823912 7509552805383 7509552908701,"shampoo goodbye daños garnier, champu fructis anti daños, garnier fructis daño capilar, champu reparador de daños en el cabello, cuidado capilar garnier , shampo good bye daños",No,pelo dañado ,Diario ,350,ml,https://loreal.sharepoint.com/:f:/r/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/General/Contenido%20Loreal%20Consumo%20Masivo/Categor%C3%ADas/1.%20HAIR%20CARE/FRUCTIS/GOODBYE%20DA%C3%91OS/2.%20A+%20CONTENT/SH350?csf=1&web=1&e=bRnLXT
HAIR CARE ,GARNIER,FRUCTIS ,Goodbye Daños ,7509552823912,Acondicionador Fructis Goodbye Daños  200ml ,Acondicionador,"¿Pelo dañado? Fructis Goodbye Daños, con amla y biotina, refuerza el pelo y repara visiblemente el daño hasta las puntas. 84% de las puntas abiertas reparadas. Sin parabenos. 
Garnier está comprometido con Green Beauty. El shampoo de Goodbye Daños tiene fórmula vegana, es Cruelty Free y sus botellas están hechas con plástico 100% reciclado. 
Probá la rutina completa de shampoo, acondicionador y crema para peinar. 
Consejo de uso: Aplicá el shampoo sobre el pelo húmedo masajeando suavemente. Dejá actuar y enjuagá con abundante agua. Usá el acondicionador y crema para peinar de Goodbye daños para una mayor reparación del daño. 
Todos los productos de Fructis son reciclables. Enjuagalos, separalos y dejalos en un contenedor/campana verde o punto verde. TIP: si podés, sacales la etiqueta.","Limpia, nutre e hidrata ","Después de usar el shampoo, aplicar una generosa cantidad sobre el cabello húmedo masajeando suavemente. Dejar actuar y enjuagar, posteriormente aplicar la crema para peinar.",7509552908701 7509552914030 7509552845402," acondicionador goodbye daños garnier, aco fructis anti daños, garnier fructis daño capilar, crema de enjuague reparador de daños en el cabello, cuidado capilar garnier , acondicionador good bye daños",No,pelo dañado ,Diario ,200,ml,https://loreal.sharepoint.com/:f:/r/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/General/Contenido%20Loreal%20Consumo%20Masivo/Categor%C3%ADas/1.%20HAIR%20CARE/FRUCTIS/GOODBYE%20DA%C3%91OS/2.%20A+%20CONTENT/ACO200?csf=1&web=1&e=EG3eNo
HAIR CARE ,GARNIER,FRUCTIS ,Goodbye Daños ,7509552844405,Acondicionador Fructis Goodbye Daños 350ml  ,Acondicionador,"¿Pelo dañado? Fructis Goodbye Daños, con amla y biotina, refuerza el pelo y repara visiblemente el daño hasta las puntas. 84% de las puntas abiertas reparadas. Sin parabenos. 
Garnier está comprometido con Green Beauty. El shampoo de Goodbye Daños tiene fórmula vegana, es Cruelty Free y sus botellas están hechas con plástico 100% reciclado. 
Probá la rutina completa de shampoo, acondicionador y crema para peinar. 
Consejo de uso: Aplicá el shampoo sobre el pelo húmedo masajeando suavemente. Dejá actuar y enjuagá con abundante agua. Usá el acondicionador y crema para peinar de Goodbye daños para una mayor reparación del daño. 
Todos los productos de Fructis son reciclables. Enjuagalos, separalos y dejalos en un contenedor/campana verde o punto verde. TIP: si podés, sacales la etiqueta.","Limpia, nutre e hidrata ","Aplicar el shampoo sobre el cabello húmedo masajeando suavemente. Dejar actuar, enjuagar y reetir cuanto sea necesario. Posteriormente usar el acondicionador y la crema para peinar.",7509552908701 7509552914030 7509552845402," acondicionador goodbye daños garnier, aco fructis anti daños, garnier fructis daño capilar, crema de enjuague reparador de daños en el cabello, cuidado capilar garnier , acondicionador good bye daños",No,pelo dañado ,Diario ,350,ml,https://loreal.sharepoint.com/:f:/r/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/General/Contenido%20Loreal%20Consumo%20Masivo/Categor%C3%ADas/1.%20HAIR%20CARE/FRUCTIS/GOODBYE%20DA%C3%91OS/2.%20A+%20CONTENT/ACO350?csf=1&web=1&e=GMlvml
HAIR CARE ,GARNIER,FRUCTIS ,Goodbye Daños ,7509552844641,Crema Para Peinar Fructis Goodbye Daños 250ml  ,Crema para peinar,"""¿Pelo dañado? Fructis Goodbye Daños, con amla y biotina, refuerza el pelo y repara visiblemente el daño hasta las puntas. 84% de las puntas abiertas reparadas. Sin parabenos. 
Garnier está comprometido con Green Beauty. La crema para peinar de Goodbye Daños tiene fórmula vegana y es Cruelty Free.
Probá la rutina completa de shampoo, acondicionador y crema para peinar. 
Consejo de uso: Aplicá sobre el pelo húmedo, después de tu rutina de lavado. No enjuagues y peina como de costumbre. Podes usarla varias veces al día. 
Todos los productos de Fructis son reciclables. Enjuagalos, separalos y dejalos en un contenedor/campana verde o punto verde. TIP: si podés, sacales la etiqueta.""","Limpia, nutre e hidrata ","Aplicar el shampoo sobre el cabello húmedo masajeando suavemente. Dejar actuar, enjuagar y reetir cuanto sea necesario. Posteriormente usar el acondicionador y la crema para peinar.",7509552908701 7509552914030 7509552845402,"Crema para peinar goodbye daños garnier, garnier fructis goodbye daños crema capilar,crema capilar reparadora de daños, crema para peinar anti daños en el cabello, producto para cabello dañado garnier",No,pelo dañado ,Diario ,250,ml,https://loreal.sharepoint.com/:f:/r/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/General/Contenido%20Loreal%20Consumo%20Masivo/Categor%C3%ADas/1.%20HAIR%20CARE/FRUCTIS/GOODBYE%20DA%C3%91OS/2.%20A+%20CONTENT/CPP250?csf=1&web=1&e=cFDA7a
HAIR CARE ,GARNIER,FRUCTIS ,Hydraliss,7509552890969,Shampoo Fructis Hydraliss 200ml ,Shampoo,"Cabello con frizz y fuera de control? Nuestro Shampoo Hydraliss enriquecido con un super duo de ingredientes.

Nuestra tecnología con Keratina -V Liquida uniformiza la fibra para controlar el frizz hasta por 72 H. y se complementa con nuestras formulas de Oleo de Argan que hidratan y suavizan intensamente para un cabello brillante y manejable.

• NO PARABENOS

• NO ACEITES MINEARLES

• SI ANTI-SAL*

• SI 91% BIODEGRADABLE**

Garnier está comprometido con Green Beauty. El shampoo Hydraliss tiene fórmula vegana, está aprobado por Cruelty Free International y sus botellas están hechas con plástico 100% reciclado.

Consejo de uso: Aplicá el shampoo sobre el pelo húmedo masajeando suavemente. Dejá actuar y enjuagá con abundante agua. Posteriormente usá el acondicionador y la crema para peinar de

Hydraliss para una mayor reparación del daño.

Probá la rutina completa de shampoo, acondicionador y crema para peinar.

Todos los productos de Fructis son reciclables. Enjuagalos, separalos y dejalos en un contenedor/campana verde o punto verde. TIP: si podés, sacales la etiqueta.}

*reduce los efectos indeseables de la sal en la superficie de cabello como el resecamiento.

**Según test equivalentes.","Controlar el frizz hasta por 72 Hs
Hidratan y suavizan intensamente para un cabello brillante y manejable.
Pelo brillante y manejable.","Después de usar shampoo, aplicar una generosa cantidad sobre el pelo húmedo masajeando suavemente. Dejar actuar y enjuagar.
",7509552924862 7509552890464  7509552890969,"shampoo hydraliss garnier,garnier hydraliss shampoo, shampoo para Cabello liso garnier, garnier hydraliss cuidado capilar, shampoo anti-frizz garnier, ",No,pelo con frizz,Diario ,200,ml,https://loreal.sharepoint.com/:f:/r/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/General/Contenido%20Loreal%20Consumo%20Masivo/Categor%C3%ADas/1.%20HAIR%20CARE/FRUCTIS/HYDRA%20LISS/2.%20A+%20CONTENT/SH%20200ML?csf=1&web=1&e=OEGqBO
HAIR CARE ,GARNIER,FRUCTIS ,Hydraliss,7509552876659,Shampoo Fructis Hydraliss 350ml ,Shampoo,"Cabello con frizz y fuera de control? Nuestro Shampoo Hydraliss enriquecido con un super duo de ingredientes.

Nuestra tecnología con Keratina -V Liquida uniformiza la fibra para controlar el frizz hasta por 72 H. y se complementa con nuestras formulas de Oleo de Argan que hidratan y suavizan intensamente para un cabello brillante y manejable.

• NO PARABENOS

• NO ACEITES MINEARLES

• SI ANTI-SAL*

• SI 91% BIODEGRADABLE**

Garnier está comprometido con Green Beauty. El shampoo Hydraliss tiene fórmula vegana, está aprobado por Cruelty Free International y sus botellas están hechas con plástico 100% reciclado.

Consejo de uso: Aplicá el shampoo sobre el pelo húmedo masajeando suavemente. Dejá actuar y enjuagá con abundante agua. Posteriormente usá el acondicionador y la crema para peinar de

Hydraliss para una mayor reparación del daño.

Probá la rutina completa de shampoo, acondicionador y crema para peinar.

Todos los productos de Fructis son reciclables. Enjuagalos, separalos y dejalos en un contenedor/campana verde o punto verde. TIP: si podés, sacales la etiqueta.}

*reduce los efectos indeseables de la sal en la superficie de cabello como el resecamiento.

**Según test equivalentes.","Controlar el frizz hasta por 72 Hs
Hidratan y suavizan intensamente para un cabello brillante y manejable.
Pelo brillante y manejable.","Después de usar shampoo, aplicar una generosa cantidad sobre el pelo húmedo masajeando suavemente. Dejar actuar y enjuagar.
",7509552924862 7509552890464  7509552890969,"shampoo hydraliss garnier,garnier hydraliss shampoo, shampoo para Cabello liso garnier, garnier hydraliss cuidado capilar, shampoo anti-frizz garnier, ",No,pelo con frizz,Diario ,350,ml,https://loreal.sharepoint.com/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/Forms/AllItems.aspx?csf=1&web=1&e=hMr234&cid=ad369442%2Ddeed%2D474f%2D9e4f%2Db71e7f410a39&RootFolder=%2Fsites%2F%2DAR%2DContenidoeCommerceDPGP%2FDocuments%20partages%2FGeneral%2FContenido%20Loreal%20Consumo%20Masivo%2FCategor%C3%ADas%2F1%2E%20HAIR%20CARE%2FFRUCTIS%2FHYDRA%20LISS%2F2%2E%20A%2B%20CONTENT%2FSH%20350ML&FolderCTID=0x012000F211C015EFB11442B50B93E86223B619
HAIR CARE ,GARNIER,FRUCTIS ,Hydraliss,7509552890464,Acondicionador Fructis Hydraliss 200ml ,Acondicionador,"""Cabello con frizz y fuera de control? Nuestro Acondicionador  Hydraliss enriquecido con un super duo de ingredientes.
Nuestra tecnología con Keratina -V Liquida uniformiza la fibra para controlar el frizz hasta por 72 H. y se complementa con nuestras formulas de Oleo de Argan que hidratan y suavizan intensamente para un cabello brillante y manejable.
• NO PARABENOS
• NO ACEITES MINEARLES
• SI ANTI-SAL*
• SI 91% BIODEGRADABLE**
Garnier está comprometido con Green Beauty. El Acondicionador Hydraliss tiene fórmula vegana, está aprobado por Cruelty Free International y sus botellas están hechas con plástico 100% reciclado.
Consejo de uso: Después de usar el shampoo, aplicá una generosa cantidad sobre el pelo húmedo, de medios a puntas. Dejá actuar y enjuagá.Usa el shampoo y la crema de peinar Hydraliss para una mayor reparación del daño.
Probá la rutina completa de shampoo, acondicionador y crema para peinar.
Todos los productos de Fructis son reciclables. Enjuagalos, separalos y dejalos en un contenedor/campana verde o punto verde. TIP: si podés, sacales la etiqueta.}
*reduce los efectos indeseables de la sal en la superficie de cabello como el resecamiento.
**Según test equivalentes.
""","Controlar el frizz hasta por 72 Hs
Hidratan y suavizan intensamente para un cabello brillante y manejable.
Pelo brillante y manejable.","Después de usar shampoo, aplicar una generosa cantidad sobre el pelo húmedo masajeando suavemente. Dejar actuar y enjuagar.
",7509552924862 7509552890464  7509552890969,"acondicionador hydraliss garnier,garnier hydraliss aco, acondicionador para cabello liso garnier, garnier hydraliss cuidado capilar, acondicionador anti-frizz garnier",No,pelo con frizz,Diario ,200,ml,https://loreal.sharepoint.com/:f:/r/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/General/Contenido%20Loreal%20Consumo%20Masivo/Categor%C3%ADas/1.%20HAIR%20CARE/FRUCTIS/HYDRA%20LISS/2.%20A+%20CONTENT/ACO%20200ML?csf=1&web=1&e=dYPwUD
HAIR CARE ,GARNIER,FRUCTIS ,Hydraliss,7509552876536,Acondicionador Fructis Hydraliss  350ml  ,Acondicionador,"""Cabello con frizz y fuera de control? Nuestro Acondicionador  Hydraliss enriquecido con un super duo de ingredientes.
Nuestra tecnología con Keratina -V Liquida uniformiza la fibra para controlar el frizz hasta por 72 H. y se complementa con nuestras formulas de Oleo de Argan que hidratan y suavizan intensamente para un cabello brillante y manejable.
• NO PARABENOS
• NO ACEITES MINEARLES
• SI ANTI-SAL*
• SI 91% BIODEGRADABLE**
Garnier está comprometido con Green Beauty. El Acondicionador Hydraliss tiene fórmula vegana, está aprobado por Cruelty Free International y sus botellas están hechas con plástico 100% reciclado.
Consejo de uso: Después de usar el shampoo, aplicá una generosa cantidad sobre el pelo húmedo, de medios a puntas. Dejá actuar y enjuagá.Usa el shampoo y la crema de peinar Hydraliss para una mayor reparación del daño.
Probá la rutina completa de shampoo, acondicionador y crema para peinar.
Todos los productos de Fructis son reciclables. Enjuagalos, separalos y dejalos en un contenedor/campana verde o punto verde. TIP: si podés, sacales la etiqueta.}
*reduce los efectos indeseables de la sal en la superficie de cabello como el resecamiento.
**Según test equivalentes.

""","Controlar el frizz hasta por 72 Hs
Hidratan y suavizan intensamente para un cabello brillante y manejable.
Pelo brillante y manejable.","Después de usar shampoo, aplicar una generosa cantidad sobre el pelo húmedo masajeando suavemente. Dejar actuar y enjuagar.
",7509552924862 7509552890464  7509552890969,"acondicionador hydraliss garnier,garnier hydraliss aco, acondicionador para cabello liso garnier, garnier hydraliss cuidado capilar, acondicionador anti-frizz garnier",No,pelo con frizz,Diario ,350,ml,https://loreal.sharepoint.com/:f:/r/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/General/Contenido%20Loreal%20Consumo%20Masivo/Categor%C3%ADas/1.%20HAIR%20CARE/FRUCTIS/HYDRA%20LISS/2.%20A+%20CONTENT/ACO%20350ML?csf=1&web=1&e=bP3Oac
HAIR CARE ,GARNIER,FRUCTIS ,Hydraliss,7509552924862,Crema Para Peinar Hydraliss 250ml,Crema para peinar,Cabello con frizz y fuera de control? Probá la Crema para Peinar de Hydraliss enriquecida con un super duo de ingredientes.,"Controlar el frizz hasta por 72 Hs
Hidratan y suavizan intensamente para un cabello brillante y manejable.
Pelo brillante y manejable.","• NO PARABENOS

• NO ACEITES MINEARLES

• SI ANTI-SAL*

• SI 91% BIODEGRADABLE**",7509552924862 7509552890464  7509552890969,"""shampoo hydraliss garnier,garnier hydraliss shampoo, shampoo para Cabello liso garnier, garnier hydraliss cuidado capilar, shampoo anti-frizz garnier,
""",No,Con frizz,Diario ,250,ml,https://loreal.sharepoint.com/:f:/r/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/General/Contenido%20Loreal%20Consumo%20Masivo/Categor%C3%ADas/1.%20HAIR%20CARE/FRUCTIS/HYDRA%20LISS/2.%20A+%20CONTENT/CPP%20250ML?csf=1&web=1&e=mtrlFa
