CATEGORIA ,MARCA ,FRANQUICIA ,SUBFRANQUICIA ,EAN ,TITULO ECOMMERCE,TIPO DE PRODUCTO ,DESCRIPCION LARGA ,BENEFICIOS,MODO DE APLICACIÓN,TIPO DE PIEL,USO ,ZONA DE APLICACIÓN ,EFECTO ,HIPOALERGENICO,CROSSELLING,KEY WORD PARA SEARCH,PACK SIZE,"GR/ML, ETC",LINK IMÁGENES 
SKIN CARE ,GARNIER,Anti Imperfecciones,Anti Imperfecciones,7509552875416,Agua Micelar con Ácido Salicílico de Garnier 400ml,Agua Micelar,"Agua Micelar para piel con tendencia al acné, o para pieles mixtas con tendencia oleosa. Limpia la piel, remueve el maquillaje y las bacterias que causan el acné y los puntos negros. Formulada con Ácido Salicílico y Vitamina C. Apta para piel sensible. Sin perfume. Dermatológicamente y oftalmológicamente probado.
Formula vegana. 

Aprobado por Cruelty Free International.
Formulado con 30% de plástico reciclado.","Limpia, desmaquilla, anti imperfecciones y anti manchas","Humedecé un disco de algodón o, si es posible, un disco de algodón reutilizable, con el Agua Micelar con Ácido Salicílico y aplicá sobre el rostro, labios y ojos. Es preferible presionar suavemente que frotar. ¡Y listo! No es necesario enjuagar.",Mixta a Grasa,Día y noche,Rostro,"Limpia, desmaquilla, anti imperfecciones y anti manchas",,"7509552874198
7509552875461
7899706194273
6923700977523","garnier, acido salicilico, piel mixta, vitamina c, piel grasa, acne, anti acne,  agua micelar, limpiador facial, limpiador, micelar, desmaquillante, micelar garnier, agua micelar garnier, miserlar, skin care, skincare, cuidado facial, cuidado de la piel, anti imperfecciones",400,ml,
SKIN CARE ,GARNIER,Anti Imperfecciones,Anti Imperfecciones,7509552874198,Limpiador Profundo Anti-Imperfecciones Con Ácido Salicílico de Garnier,Limpiador ,"Nuevo Limpiador Profundo Anti Imperfecciones para piel mixta con tendencia oleosa. Formulado con Ácido Salicílico, Vitamina C° y Minerales para tratar imperfecciones y manchas por imperfecciones. Elimina el -99% bacterias que causan imperfecciones*. 
USO: Entre una y dos veces por semana. 

Aprobado por dermatólogos.
Formula vegana. 

Aprobado por Cruelty Free International.

* Test in vitro con C acnés
°Derivado",Limpia en profundidad elimando las bacterias que causan imperfecciones,Coloca un poco del limpiador en tus manos y masajea gentilmente sobre el rostro previamente mojado hasta hacer espuma y enjuaga.  Usalo dos veces por semana.,Mixta a Grasa,Día o noche,Rostro,"Limpia, reduce imperfecciones, manchas y exceso de sebo",,"7509552875416
7509552875461

7899706194273
6923700977523","garnier, acido salicilico, piel mixta, niacinamida, vitamina c, piel grasa, acne, anti acne, limpiador facial, exfoliante, limpiador,skin care, skincare, cuidado facial, cuidado de la piel, anti imperfecciones",150,ml,
SKIN CARE ,GARNIER,Anti Imperfecciones,Anti Imperfecciones,7509552875461,Sérum Anti-imperfecciones con Ácido Salicílico de Garnier,Serum,"Nuevo Sérum Anti Imperfecciones para piel con tendencia al acné o para pieles mixtas con tendencia oleosa. Apto para pieles sensibles. Tratamiento concentrado formulado con Ácido Salicílico, Vitamina C°, AHA, y Niacinamida para tratar imperfecciones y manchas. Reduce -44% imperfecciones* y -41% visibilidad de manchas**. Textura ligera, sin sensación grasosa. 
No comedogénico. 
Aprobado por dermatólogos.
Formula vegana. 

Aprobado por Cruelty Free International.
Pack creado con un 20% de vidrio reciclado. 

* Estudio clínico. Resultado promedio sobre la reducción de imperfecciones después de 21 días de uso, dos veces al día. Los resultados pueden variar de una persona a otra
** Estudio clínico. Resultado de la reducción de manchas debido a imperfecciones después de 6 semanas de uso, dos veces al día. Los resultados pueden variar de una persona a otra

°Derivado

",Reduce imperfecciones y manchas,"Paso 1: Después de limpiarte la cara, colocá cuatro gotas en la palma de tu mano.
Paso 2: Distribuí uniformemente sobre el rostro y el cuello.
Aclaración: el Serum constituye el segundo paso de tu rutina de cuidado facial. Siempre va después de la limpieza y antes de la hidratación.",Mixta a Grasa,Día y noche,Rostro,"Reduce imperfecciones, manchas, poros y reduce el brillo ",,"7509552875416
7509552874198
7899706194273
6923700977523","garnier, acido salicilico, piel mixta, niacinamida, vitamina c, piel grasa, acne, anti acne,  serum, serum garnier, serum piel grasa, skin care, skincare, cuidado facial, cuidado de la piel, anti imperfecciones",30,ml,
SKIN CARE ,GARNIER,Vitamina C,Vitamina C,7509552844047,Crema Hidratante FPS30 Vitamina C Garnier 50gr,Crema Hidratante,"Probá la nueva crema hidratante textura ligera de Garnier con FPS30. Esta crema hidrata, protege y unifica el tono de la piel en 7 días*. Formulada con vitamina Cg, niacinamida y vitamina E.
Aprobado por Crueltry Free International.
Comprometido con Green Beauty.
*Estudio con consumidoras, 122 personas.","Unifica el tono de la piel en 7 días*
*Estudio con consumidoras, 122 personas.","La crema hidratante se aplica luego del sérum sobre rostro y cuello. Recomendamos usar el Sérum Ilumindador de Vitamina C de Garnier.
Recordá que esta crema se usa solo de día ya que tiene FPS 30.
Evitar el contacto con los ojos",Todo tipo de piel,Día,Rostro y cuello,Anti mancha, ,"7899706194273
7509552842319
7509552849493","crema con FPS, crema vitamina c, vitamina c, rutina vitamina c, crema fluida, crema garnier, cuidado facial garnier, vitamina c garnier, crema hidratante, hidratante facial, cremas de garnier, serum vitamina c, serum iluminador, skin care, skincare, cuidado facial, cuidado de la piel, anti imperfecciones",50,gr,https://loreal.sharepoint.com/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/Forms/AllItems.aspx?ct=1678392017946&or=Teams%2DHL&ga=1&CT=1694189878223&OR=OWA%2DNT&CID=c3a6a3be%2Dad64%2D1d7d%2Dec81%2Dd29a0936e91d&id=%2Fsites%2F%2DAR%2DContenidoeCommerceDPGP%2FDocuments%20partages%2FGeneral%2FContenido%20Loreal%20Consumo%20Masivo%2FCategor%C3%ADas%2F3%2E%20SKIN%20CARE%2FGARNIER%20SKIN%20ACTIVE%2FVITAMINA%20C%2FCREMA%20HIDRATANTE%20FPS%2F2%2E%20A%2B%20CONTENT&viewid=4c10b7ab%2D3dd4%2D43ab%2Db35c%2Dbc535dfbe16b
SKIN CARE ,GARNIER,Vitamina C,Vitamina C,7899706194273,Gel Hidratante Ultra Ligero Vitamina C Garnier 50gr,Gel Hidratante,"Probá el nuevo gel hidratante con textura en aqua ULTRA LIGERA. Hidrata el rostro hasta por 48 horas* y controla el brillo resultando en una piel sin sensación grasosa. Formulado con vitamina Cg ácido hialurónico. Ideal para pieles que prefieren texturas más ligeras.
Con 98% de ingredientes de origen natural. Aprobado por Crueltry Free International. Fórmula vegana. 20% de vidrio reciclado.
Sin siliconas. Sin Paraberenos. Sin Aceites minerales.
Comprometido con Green Beauty.
* Prueba Instrumental","Hidrata el rostro hasta por 48 horas*
* Prueba Instrumental
Sin sensación grasosa.
Vegana.","El Gel hidratante se aplica luego del sérum sobre rostro y cuello. Recomendamos usar el Sérum Ilumindador de Vitamina C de Garnier.
La podes usar tanto de día  como de noche
Evitar el contacto con los ojos",Todo tipo de piel,Día y  noche,Rostro y cuello,Anti Brillo, ,"7509552798005
7509552842319
7509552849493","crema vitamina c, vitamina c, rutina vitamina c, crema fluida, crema garnier, cuidado facial garnier, vitamina c garnier, crema hidratante, hidratante facial, cremas de garnier, serum vitamina c, serum iluminador, gel hidratante, serum gel garnier, hidratante ultra ligero",50,gr,https://loreal.sharepoint.com/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/Forms/AllItems.aspx?csf=1&web=1&e=2DRmI0&cid=52260de1%2Dacd5%2D4c6e%2Dbfe1%2D33612598bb02&RootFolder=%2Fsites%2F%2DAR%2DContenidoeCommerceDPGP%2FDocuments%20partages%2FGeneral%2FContenido%20Loreal%20Consumo%20Masivo%2FCategor%C3%ADas%2F3%2E%20SKIN%20CARE%2FGARNIER%20SKIN%20ACTIVE%2FVITAMINA%20C%2FGEL%20HIDRATANTE%20JELLY&FolderCTID=0x012000F211C015EFB11442B50B93E86223B619
SKIN CARE ,GARNIER,Vitamina C,Vitamina C,7509552842319,Agua Micelar Vitamina C Garnier 400ml,Agua Micelar,"Conocé la nueva Agua Micelar con Vitamina Cg. Enriquecida con vitamina C para potenciar la luminosidad de tu piel: limpia, desmaquilla y unifica el tono de la piel.
Fórmula vegana. 30% de plástico reciclado.
Aprobado por Crueltry Free International.
Comprometido con Green Beauty.","Limpia, Desmaquilla y unifica
 Testeado con dermatologos y oftalmólogos
Vegana","Humedecé un disco de algodón o, si es posible, un disco de algodón reutilizable, con el Agua Micelar de Vitamina C y aplicá sobre el rostro, labios y ojos. Es preferible presionar suavemente que frotar. ¡Y listo! No es necesario enjuagar.",Todo tipo de piel,Día y  noche,"Rostro, ojos y labios","Limpia, desmaquilla y unifica", ,"7899706194273
7509552798005
7509552849493","agua micelar, agua micelar garnier, micelar garnier, micelar vitamina c, rutina garnier, rutina vitamina c, rutina anti manchas, desmaquillante, desmaquillante garnier, limpiador facial, micelar, agua micelar, agua micelar garnier, vitamina c, micelar vit c, garnier vitamina c, vitamina c, ",400,ml,https://loreal.sharepoint.com/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/Forms/AllItems.aspx?ct=1678392017946&or=Teams%2DHL&ga=1&id=%2Fsites%2F%2DAR%2DContenidoeCommerceDPGP%2FDocuments%20partages%2FGeneral%2FContenido%20Loreal%20Consumo%20Masivo%2FCategor%C3%ADas%2F3%2E%20SKIN%20CARE%2FGARNIER%20SKIN%20ACTIVE%2FAGUAS%20MICELARES%2FAGUA%20MICELAR%20VITAMINA%20C&viewid=4c10b7ab%2D3dd4%2D43ab%2Db35c%2Dbc535dfbe16b
SKIN CARE ,GARNIER,Vitamina C,Vitamina C,7509552849493,Serum Facial Iluminador Vitamina C Garnier 30ml,Serum,"Probá el nuevo Serum de Vitamina C*, Niacinamida y Ácido Salicílico de Garnier que ilumina la piel y unifica el tono en tres dias**. Apto para todo tipo de piel y testeado con dermatólogos. Resultados visibles: piel con menos manchas, hidratada y radiante. Textura ligera, sin sensación grasosa. Aprobado por Cruelty Free International; pack creado con un 20% de vidrio reciclado. Sin parabenos ni aceites minerales.
*Derivado
 **Estudio de uso. 150 mujeres. Resultados a 3 días
Paso 1: Después de limpiarte la cara, colocá cuatro gotas en la palma de tu mano, sin que el gotero tenga contacto con la piel.
Paso 2: Distribuí uniformemente sobre el rostro y el cuello.
Aclaración: el Serum constituye el segundo paso de tu rutina de cuidado facial. Siempre va después de la limpieza y antes de la hidratación.","Ilumina, unifica el tono, antimanchas","Paso 1: Después de limpiarte la cara, colocá cuatro gotas en la palma de tu mano, sin que el gotero tenga contacto con la piel.
Paso 2: Distribuí uniformemente sobre el rostro y el cuello.
Aclaración: el Serum constituye el segundo paso de tu rutina de cuidado facial. Siempre va después de la limpieza y antes de la hidratación.",Todo tipo de piel,Día y noche,"Rostro, ojos y labios",Ilumina y reduce manchas, ,"7509552798005
7899706194273
7509552842319"," serum, serum vitamina c, serum de garnier, garnier serum, serum de vitamina c, serum iluminador, serum garnier, vitamina c, rutina vitamina c, garnier vitamina c, garnier vitamina c, serum facial, serum rostro,  vitamina c",30,ml,https://loreal.sharepoint.com/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/Forms/AllItems.aspx?csf=1&web=1&e=F8hadG&cid=5711226f%2D720c%2D4eb6%2Da0c4%2D274640216229&RootFolder=%2Fsites%2F%2DAR%2DContenidoeCommerceDPGP%2FDocuments%20partages%2FGeneral%2FContenido%20Loreal%20Consumo%20Masivo%2FCategor%C3%ADas%2F3%2E%20SKIN%20CARE%2FGARNIER%20SKIN%20ACTIVE%2FVITAMINA%20C%2FAGUA%20MICELAR%20VIT%20C&FolderCTID=0x012000F211C015EFB11442B50B93E86223B619
SKIN CARE ,GARNIER,Agua Micelar,Agua Micelar,3600541744523,Agua Micelar Bifásica Garnier 400ml,Agua Micelar,"El agua micelar bifásica desmaquilla , limpia y nutre en un solo gesto rostro, ojos y labios. Una fórmula que combina la eficacia de las micelas con el aceite de argán capturando las impurezas como un imán, incluso el maquilaje a prueba de agua, sin frotar.El aceite de argán es un óleo, conocido por sus propiedades nutritivas y reconfortantes. Modo de uso: Agitar el envase y  fundir el agua con el aceite hasta conseguir un color homogéneo para una eficacia garantizada. Aplicar sobre un disco de algodón y apoyar suavemente sobre la zona a desmaquillar por unos segundos para dejar actuar. Luego, remover los restos de maquillaje y suciedad. No necesita enjuague. Limpia sin acabado graso, y elimina  hasta el maquillaje más difícil. Apta hasta para las pieles más sensibles.
 Combiná de acuerdo a tus necesidades, con el Agua Micelar Todo en 1 para todo tipo de pieles para refrescar y tonificar, o el Agua Micelar Pure Active para pieles mixtas a grasas para matificar y purificar. Sumá a tu rutina las cremas Hidratantes 3 en 1 de Garnier para todos los días, y las mascarillas hidratantes en tela Hidra Bomb de Garnier 1 vez a la semana.","Desmaquilla, limpia y nutre","Agitar el envase y fundir el agua con el aceite hasta conseguir un color homogéneo para una eficacia garantizada. Aplicar sobre un disco de algodón y apoyar suavemente sobre la zona a desmaquillar por unos segundos para dejar actuar. Luego, remover los restos de maquillaje y suciedad. No necesita enjuague. Limpia sin acabado graso, y elimina hasta el maquillaje más difícil. Apta hasta para las pieles más sensibles.",Todo tipo de piel ,Día y noche,"Rostro, ojos y labios","Desmaquilla, limpia e ilumina", ,"7509552849493
3600541594937
7509552455557
6923700977561"," agua micelar, micelar, desmaquillante, limpiador facial, micelar garnier, garnier, agua micelar garnier, desmaquillador, desmquillante garnier, agua miselar, agua micelar de granier, agua micelar garnier, agua bifasica, agua micelar piel sensible, desmaquillante piel sensible, limpiador piel sensible, desmaquillante aprueba de agua, desmaquillante waterproof, agua micelar a prueba de agua ",400,ml,https://loreal.sharepoint.com/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/Forms/AllItems.aspx?ct=1678392017946&or=Teams%2DHL&ga=1&id=%2Fsites%2F%2DAR%2DContenidoeCommerceDPGP%2FDocuments%20partages%2FGeneral%2FContenido%20Loreal%20Consumo%20Masivo%2FCategor%C3%ADas%2F3%2E%20SKIN%20CARE%2FGARNIER%20SKIN%20ACTIVE%2FAGUAS%20MICELARES%2FAGUA%20MICELAR%20BIFASICA&viewid=4c10b7ab%2D3dd4%2D43ab%2Db35c%2Dbc535dfbe16b
SKIN CARE ,GARNIER,Agua Micelar,Agua Micelar,3600542326414,Agua Micelar de Rosas Garnier 400ml ,Agua Micelar,"Si tenés la piel opaca, cansada, apagada, la nueva Agua Micelar de Rosas es para vos.

Apta para todo tipo de piel incluso las sensibles, formulada con AGUA DE ROSAS, ingrediente conocido por iluminar, calmar, hidratar y devolverle vida a tu rostro sin dejar sensación de tirantez.

Para limpiar tu piel todos los días, por la mañana y por la noche, gracias al poder de las micelas que atrapan suciedad e impurezas como un imán (¡además de maquillaje!).

Modo de uso: Aplicar sobre un disco de algodón (preferir uno reutilizable) y remover restos de suciedad y/o maquillaje del rostro, ojos y labios. No es necesario enjuagar ya que el pequeño residuo que permanece en la piel es respetuoso con la misma.

¿Cuál es su diferencial versus las otras micelares? El AGUA DE ROSAS que va a potenciar la luminosidad de tu piel.

Sin Alcohol. Sin testeos en animales. Fórmula vegana. ","Limpia, desmaquilla e ilumina","Humedecé un disco de algodón o, si es posible, un disco de algodón reutilizable, con el Agua Micelar de Rosas y aplicá sobre el rostro, labios y ojos. Es preferible presionar suavemente que frotar. ¡Y listo! No es necesario enjuagar.",Piel opaca y sensible,Día y noche,"Rostro, ojos y labios","Desmaquilla, limpia y matifica", ,"3600541744523
6923700977509
6923700979824
23700990492"," agua micelar, micelar, desmaquillante, limpiador facial, micelar garnier, garnier, agua micelar garnier, desmaquillador, desmquillante garnier, agua miselar, agua micelar de granier, agua micelar garnier, agua micelar rosas, agua micelar piel sensible, desmaquillante piel sensible, limpiador piel sensible, agua de rosas, agua micelar de rosas, agua de rosa garnier, miselar de rosa, agua miselar de rosa, ",400,ml,https://loreal.sharepoint.com/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/Forms/AllItems.aspx?csf=1&web=1&e=qCteRp&cid=6ed08c62%2D530b%2D4868%2Db0ae%2D4025aa73185c&RootFolder=%2Fsites%2F%2DAR%2DContenidoeCommerceDPGP%2FDocuments%20partages%2FGeneral%2FContenido%20Loreal%20Consumo%20Masivo%2FCategor%C3%ADas%2F3%2E%20SKIN%20CARE%2FGARNIER%20SKIN%20ACTIVE%2FAGUAS%20MICELARES%2FAGUA%20MICELAR%20DE%20ROSAS&FolderCTID=0x012000F211C015EFB11442B50B93E86223B619
SKIN CARE ,GARNIER,Agua Micelar,Agua Micelar,3600541594937,Agua Micelar Pure Active Garnier 400ml,Agua Micelar,"El Agua Micelar Pure Active limpia, desmaquilla y matifica en un solo gesto rostro, ojos y labios. Limpieza profunda y eficaz gracias a la tecnología de las micelas que capturan suciedad, maquillaje y exceso de sebo como un imán. Fórmula ideal para pieles de mixtas a grasas, sin perfume. Reduce el brillo para una piel matificada y libre de impurezas. Modo de uso: Aplicar sobre un disco de algodón y remover restos de suciedad y maquillaje del rostro, ojos y labios. No necesita enjuague. Para una rutina de cuidado facial completa, desmaquillá y matificá con el Agua Micelar Pure Active, purificá y exfoliá con el Gel 3 en 1, e hidratá con las cremas Hidratantes 3 en 1 de Garnier todos los días. Sumá las mascarillas hidratantes en tela HidraBomb Matificante Té Verde y/o Detox Carbón 1 vez a la semana.","Limpia, desmaquilla y matifica","Humedecé el algodón con el Agua Micelar Todo en 1 de Garnier Pure Active y aplicá sobre el área deseada para limpiar, tonificar y desmaquillar la piel. Ideal para la zona T.

¡No necesitás frotar en ningún momento!

Secar suavemente después",Mixta a Grasa,Día y noche,"Rostro, ojos y labios","Desmaquilla, limpia y nutre", ,"7899706194273
7509552656640
6923700977523
6923700979800"," agua micelar, micelar, desmaquillante, limpiador facial, micelar garnier, garnier, agua micelar garnier, desmaquillador, desmquillante garnier, agua miselar, agua micelar de granier, agua micelar garnier, agua micelar matificante, micelar pure active, micelar celeste, agua micelar garnier celeste, limpiador facial matificante, desmaquillante matificante, desmaquillante piel grasa",400,ml,https://loreal.sharepoint.com/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/Forms/AllItems.aspx?ct=1678392017946&or=Teams%2DHL&ga=1&id=%2Fsites%2F%2DAR%2DContenidoeCommerceDPGP%2FDocuments%20partages%2FGeneral%2FContenido%20Loreal%20Consumo%20Masivo%2FCategor%C3%ADas%2F3%2E%20SKIN%20CARE%2FGARNIER%20SKIN%20ACTIVE%2FAGUAS%20MICELARES%2FAGUA%20MICELAR%20PURE%20ACTIVE&viewid=4c10b7ab%2D3dd4%2D43ab%2Db35c%2Dbc535dfbe16b
