EAN,NOMBRE,DESCRIPCION,TAMAÑO,"GR/ML, ETC",COMPOSICION,BENEFICIO 1,BENEFICIO 2,BENEFICIO 3,MODO DE USO,TAG/ KEY WORDS
3337875546430,Protector solar Anthelios toque seco fps 50+ La Roche-Posay,"Anthelios toque seco fps 50+ de La Roche-Posay es un protector solar para pieles mixtas a grasas con un efecto mate.
Sus beneficios son:
1) Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación.
2) Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles.
3) Acabado dry touch, ultra seco, imperceptible. No deja marcas blancas.
Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT, Airlicium (matificante, ayuda a evaporar el sudor),  Silice y Perlite (matificante) y Zinc (seborregulador).
Testeado bajo control dermatológico. 
Consejos de uso: Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. Evitar el contorno de los ojos. En caso de contacto con los ojos, enjuagar inmediata y abundantemente. ",50,ml,"Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT, Airlicium (matificante, ayuda a evaporar el sudor),  Silice y Perlite (matificante) y Zinc (seborregulador).","Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación.",Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles.,"Acabado dry touch, ultra seco, imperceptible. No deja marcas blancas.","Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. Evitar el contorno de los ojos. En caso de contacto con los ojos, enjuagar inmediata y abundantemente. ","Protector solar, protección solar, piel grasa, protector con efecto mate, alta protección solar, pantalla solar, bloqueador solar, solar rostro, crema con fps, crema solar, protector para piel oleosa, piel mixta."
3337875545891,Protector solar Anthelios toque seco con color fps 50+ La Roche-Posay,"Anthelios toque seco con color fps 50+ de La Roche-Posay es un protector solar para pieles mixtas a grasas con un efecto mate.
Sus beneficios son:
1) Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación.
2) Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles.
3) Acabado dry touch, ultra seco, imperceptible. No deja marcas blancas.
4) Unifica el tono. Se puede usar como base de maquillaje.
Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT, Airlicium (matificante, ayuda a evaporar el sudor),  Silice y Perlite (matificante), Zinc (seborregulador) y pigmentos (unifica el tono).
Testeado bajo control dermatológico. 
Consejos de uso: Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. Evitar el contorno de los ojos. En caso de contacto con los ojos, enjuagar inmediata y abundantemente. ",50,ml,"Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT, Airlicium (matificante, ayuda a evaporar el sudor),  Silice y Perlite (matificante), Zinc (seborregulador) y pigmentos (unifica el tono).","Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación.",Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles.,"Acabado dry touch, ultra seco, imperceptible. No deja marcas blancas. Unifica el tono. Se puede usar como base de maquillaje.","Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. Evitar el contorno de los ojos. En caso de contacto con los ojos, enjuagar inmediata y abundantemente. ","Protector solar, protección solar, piel grasa, base con protección solar, protector con efecto mate, protección con color, protección con maquillaje, alta protección solar, pantalla solar, bloqueador solar, solar rostro, crema con fps, crema solar, protector para piel oleosa, piel mixta."
7790033283244,Rutina protección solar con color e hidratación Anthelios fluido con color FPS 50+ de La Roche - Posay,"Rutina para todo tipo de piel. Muy alta protección solar con color y fluida + 1 mes de tratamiento hidratante GRATIS, aporta 48 hs de hidratación.                                                        Anthelios Fluido  con Color fps 50+ de La Roche-Posay es un protector solar para todo tipo de pieles con una textura ultra ligera e imperceptible que unifica el tono de la piel.
Sus beneficios son:
1) Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación. 
2) Textura imperceptible y ultra ligera. No graso, no deja marcas blancas.
3) Muy resistente al agua, sudor y arena.
4) Unifica el tono.
Contiene tecnología netlock, Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT y pigmentos (Unifica el tono). Fragancia testeada en pieles con patologías.
Testeado bajo control dermatológico. 
Consejos de uso: Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. Evitar el contorno de los ojos. En caso de contacto con los ojos, enjuagar inmediata y abundantemente. ",50,ml,"Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT y pigmentos (Unifica el tono). Polímeros inteligentes que encapsulan los componentes grasos y formar una red homogénea de protección. Fragancia testeada en pieles con patológicas.","Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación. ","No pica en los ojos, ultra resistente al agua, sudor y arena. ","Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles. Textura imperceptible y ultra ligera. No graso, unifica el tono.","Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. Evitar el contorno de los ojos. En caso de contacto con los ojos, enjuagar inmediata y abundantemente. ","Protector solar, protección solar, protección con color, protección con maquillaje, alta protección solar, pantalla solar, bloqueador solar, solar rostro, crema con fps, crema solar,  no graso, no pegajoso, no deja brillo,"
7790033283237,Rutina protección solar e hidratación Anthelios fluido invisible FPS 50+ de La Roche - Posay,"Rutina para todo tipo de piel. Muy alta protección solar fluida e invisible l + 1 mes de tratamiento hidratante GRATIS, aporta 48 hs de hidratación.                                                   Anthelios Fluido invisible fps 50+ de La Roche-Posay es un protector solar para todo tipo de pieles con una textura ultra ligera e imperceptible.
Sus beneficios son:
1) Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación. 
2) Textura imperceptible y ultra ligera. No graso, no deja marcas blancas.
3) Muy resistente al agua, sudor y arena.
Contiene tecnología netlock, Agua termal de la Roche-Posay y tecnología de protección solar XL-PROTECT. No contiene fragancia.
Testeado bajo control dermatológico. 
Consejos de uso: Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. Evitar el contorno de los ojos. En caso de contacto con los ojos, enjuagar inmediata y abundantemente. ",50,ml,Contiene Agua termal de la Roche-Posay y tecnología de protección solar XL-PROTECT. Polímeros inteligentes que encapsulan los componentes grasos y formar una red homogénea de protección. No contiene fragancia.,"Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación. ","No pica en los ojos, ultra resistente al agua, sudor y arena. ","Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles. Textura imperceptible y ultra ligera. No graso, no deja marcas blancas.","Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. Evitar el contorno de los ojos. En caso de contacto con los ojos, enjuagar inmediata y abundantemente. ","Protector solar, protección solar, alta protección solar, pantalla solar, bloqueador solar, solar rostro, crema con fps, crema solar, protector fluido, piel normal, no graso, no pegajoso, no deja brillo,"
7790033283268,Rutina protección solar con color y  tratamiento piel grasa y/o acnéica Anthelios Toque Seco con color FPS 50+ de La Roche - Posay,"Rutina para pieles mixtas a grasas. Muy alta protección solar con color y efecto mate + 1 mes de tratamiento GRATIS para tratar acne, puntos negros y marcas.                                         Anthelios toque seco con color fps 50+ de La Roche-Posay es un protector solar para pieles mixtas a grasas con un efecto mate.
Sus beneficios son:
1) Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación.
2) Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles.
3) Acabado dry touch, ultra seco, imperceptible. No deja marcas blancas.
4) Unifica el tono. Se puede usar como base de maquillaje.
Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT, Airlicium (matificante, ayuda a evaporar el sudor),  Silice y Perlite (matificante), Zinc (seborregulador) y pigmentos (unifica el tono).
Testeado bajo control dermatológico. 
Consejos de uso: Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. Evitar el contorno de los ojos. En caso de contacto con los ojos, enjuagar inmediata y abundantemente. ",50,ml,"Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT, Airlicium (matificante, ayuda a evaporar el sudor),  Silice y Perlite (matificante), Zinc (seborregulador) y pigmentos (unifica el tono).","Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación.",Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles.,"Acabado dry touch, ultra seco, imperceptible. No deja marcas blancas. Unifica el tono. Se puede usar como base de maquillaje.","Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. Evitar el contorno de los ojos. En caso de contacto con los ojos, enjuagar inmediata y abundantemente. ","Protector solar, protección solar, piel grasa, base con protección solar, protector con efecto mate, protección con color, protección con maquillaje, alta protección solar, pantalla solar, bloqueador solar, solar rostro, crema con fps, crema solar, protector para piel oleosa, piel mixta."
7790033283251,Rutina protección solar + tratamiento piel grasa y/o acnéica Anthelios Toque Seco FPS 50+ de La Roche - Posay,"Rutina para pieles mixtas a grasas. Muy alta protección solar y efecto mate + 1 mes de tratamiento GRATIS para tratar acné, puntos negros y marcas.                                                      Anthelios toque seco fps 50+ de La Roche-Posay es un protector solar para pieles mixtas a grasas con un efecto mate.
Sus beneficios son:
1) Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación.
2) Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles.
3) Acabado dry touch, ultra seco, imperceptible. No deja marcas blancas.
Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT, Airlicium (matificante, ayuda a evaporar el sudor),  Silice y Perlite (matificante) y Zinc (seborregulador).
Testeado bajo control dermatológico. 
Consejos de uso: Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. Evitar el contorno de los ojos. En caso de contacto con los ojos, enjuagar inmediata y abundantemente. ",50,ML,"Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT, Airlicium (matificante, ayuda a evaporar el sudor),  Silice y Perlite (matificante) y Zinc (seborregulador).","Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación.",Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles.,"Acabado dry touch, ultra seco, imperceptible. No deja marcas blancas.","Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. Evitar el contorno de los ojos. En caso de contacto con los ojos, enjuagar inmediata y abundantemente. ","Protector solar, protección solar, piel grasa, protector con efecto mate, alta protección solar, pantalla solar, bloqueador solar, solar rostro, crema con fps, crema solar, protector para piel oleosa, piel mixta."
30162457,Protector solar NUEVO Anthelios fluido Invisible con color 50+ La Roche-Posay,"Anthelios Fluido Ultra con Color fps 50+ de La Roche-Posay es un protector solar para todo tipo de pieles con una textura ultra ligera e imperceptible que unifica el tono de la piel.
Sus beneficios son:
1) Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación. 
2) Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles.
3) Textura imperceptible y ultra ligera. No graso, no deja marcas blancas.
4) Muy resistente al agua.
5) Unifica el tono.
Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT y pigmentos (Unifica el tono). Fragancia testeada en pieles con patologías.
Testeado bajo control dermatológico. 
Consejos de uso: Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. Evitar el contorno de los ojos. En caso de contacto con los ojos, enjuagar inmediata y abundantemente. ",50,ml,"Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT y pigmentos (Unifica el tono). Polímeros inteligentes que encapsulan los componentes grasos y formar una red homogénea de protección. Fragancia testeada en pieles con patológicas.","Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación. 
","No pica en los ojos, ultra resistente al agua, sudor y arena. ","Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles. Textura imperceptible y ultra ligera. No graso, unifica el tono.
","Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. Evitar el contorno de los ojos. En caso de contacto con los ojos, enjuagar inmediata y abundantemente. ","Protector solar, protección solar, protección con color, protección con maquillaje, alta protección solar, pantalla solar, bloqueador solar, solar rostro, crema con fps, crema solar,  no graso, no pegajoso, no deja brillo,"
3337875550628,Protector solar Anthelios XL FPS 50+ Leche Dermopediátrica 250ml La Roche-Posay,"Anthelios XL FPS 50+ Leche dermopediátrica de La Roche-Posay es un protector solar corporal para todo tipo de pieles, ideal para la piel sensible de los niños.
Sus beneficios son:
1) Muy alta protección de rayos UVB/UVA y rayos infrarrojos. Con protección UVA reforzada.
2) Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles de los niños. 
3) Muy resistente al agua. 
Anthelios Leche dermopediátrica contiene Agua termal de La Roche-Posay, tecnología de protección solar XL-PROTECT y extracto de Senna Alata (protege contra el daño celular). Fórmula minimalista testeada bajo control dermatológico, sin perfume ni parabenos, sin octocrileno (no daña la biodiversidad marina).
Testeado bajo control dermatológico. 
Consejos de uso: Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. Evitar el contorno de los ojos. En caso de contacto con los ojos, enjuagar inmediata y abundantemente. 
",250,ml,"Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT y Extracto de Senna Alata que protege contra el daño celular. ","Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación. 
","Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles de los niños. Textura ultra confortable. No graso, muy resistente al agua. 
",Muy resistente al agua,"Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. Evitar el contorno de los ojos. En caso de contacto con los ojos, enjuagar inmediata y abundantemente. ","Protector solar, protección solar, alta protección solar, pantalla solar, bloqueador solar, solar rostro, crema con fps, crema solar, protector fluido, piel normal, no graso, no pegajoso, no deja brillo, Protector para piel sensible, protector familiar, para toda la familia, apto niños, para niños, protector solar para nenes, para chicos, "
3337875588560,Protector solar Anthelios Crema Ultra FPS 50+ La Roche-Posay,"Anthelios crema ultra fps 50+ de La Roche-Posay es un protector solar para pieles secas, ultra segura. 
Sus beneficios son:
1) Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación. 
2) Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles.
3) Tecnología antimigración: no migra a los ojos. 
4) No irrita los ojos, incluso si usas lentes de contacto. 
Testeado bajo control dermatológico. 
Contiene Agua termal de la Roche-Posay y tecnología de protección solar XL-PROTECT. No contiene fragancia.
Consejos de uso: Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. ",50,ml,"Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT y Glicerina (hidrata)","Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación. 
","Máxima eficacia con la mayor tolerancia. Apto para pieles y ojos sensibles . Textura ultra confortable. No graso, muy resistente al agua. 
",No irrita los ojos,"Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. ","Protector solar, protección solar, alta protección solar, pantalla solar, bloqueador solar, solar rostro, crema con fps, crema solar, piel seca, no graso, no pegajoso, no deja brillo, Protector para piel sensible, no irrita los ojos, no pica en los ojos, ojos sensibles."
3337875549530,Protector solar Anthelios Bruma de Rostro FPS 50 La Roche-Posay,"Anthelios bruma toque seco fps 50 de La Roche-Posay es un protector solar para pieles mixtas a grasas ultra ligero. 
Sus beneficios son:
1) Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación.
2) Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles.
3) Acabado dry touch, ultra seco, imperceptible. No deja marcas blancas.
4) Ideal para llevar en la cartera
5) Fija el maquillaje
Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT, Airlicium (matificante, ayuda a evaporar el sudor)
Testeado bajo control dermatológico. 
Consejos de uso: Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. ",75,ml,"Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT y Airlicium (matificante).","Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación. 
","Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles. Bruma invisible. No graso
",Fija el maquillaje. Ideal para llevar en la cartera.,"Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. ","Protector solar, protección solar, alta protección solar, pantalla solar, bloqueador solar, solar rostro, bruma ligera, protector solar ligero, piel grasa, no graso, no pegajoso, no deja brillo, Protector para piel sensible, fija el maquillaje"
