Código EAN / UPC,Nombre,Variante,Tags de Producteca,Id Publicación MercadoLibre,Notas
3337872413117,ANTHELIOS 50 UNIFIANT MOUSSE 40ml TONO 01,,La Roche-Posay,MLA750511423,"LA ROCHE POSAY ANTHELIOS 50 UNIFIANT MOUSSE 40ml TONO 01
 
 Textura mousse innovadora que se funde instantáneamente en la piel, con un efecto blur para suavizar las irregularidades y el tono de la piel. Muy alta protección del rostro. 2 tonos para los diferentes tipos de piel. Para pieles sensibles, de uso diario.
 
 Muy alta protección del rostro. Piel sensible, sin perfume, sin parabenos y de uso diario. 2 tonos para los diferentes tipos de piel.Protección UVB FPS 50 y protección UVA más estricta que la recomendación Europea (para protección solar - PPD 39) gracias al sistema filtrante MEXOPLEX®.
 
 Testeado bajo control dermatológico. No comedogénico.
 
 Textura mousse innovadora que se funde instantáneamente en la piel, con un efecto blur para suavizar las irregularidades y el tono de la piel. Acabado aterciopelado.
 
 Descripción: Textura mousse que difumina los defectos. Alisa visiblemente la superficie de la piel. Unifica el tono. Para todo tipo de piel.
 
 Modo de uso: Aplicar el protector solar justo antes de la exposición al sol. Volver a aplicar con frecuencia y de forma generosa para mantener la protección, especialmente después de nadar, transpirar, o secarse con toalla. Uso externo.
 
 Presentación:
  Envase de 40ml."
3337872419959,ANTHELIOS 50 UNIFIANT MOUSSE 40ml TONO 02,,La Roche-Posay,MLA750511428,"LA ROCHE POSAY ANTHELIOS 50 UNIFIANT MOUSSE 40mlTONO 02.
 
 Textura mousse innovadora que se funde instantáneamente en la piel, con un efecto blur para suavizar las irregularidades y el tono de la piel. Muy alta protección del rostro. 2 tonos para los diferentes tipos de piel. Para pieles sensibles, de uso diario.
 
 Muy alta protección del rostro. Piel sensible, sin perfume, sin parabenos y de uso diario. 2 tonos para los diferentes tipos de piel.Protección UVB FPS 50 y protección UVA más estricta que la recomendación Europea (para protección solar - PPD 39) gracias al sistema filtrante MEXOPLEX®.
 
 Testeado bajo control dermatológico. No comedogénico.
 
 Textura mousse innovadora que se funde instantáneamente en la piel, con un efecto blur para suavizar las irregularidades y el tono de la piel. Acabado aterciopelado.
 
 Descripción: Textura mousse que difumina los defectos. Alisa visiblemente la superficie de la piel. Unifica el tono. Para todo tipo de piel.
 
 Modo de uso: Aplicar el protector solar justo antes de la exposición al sol. Volver a aplicar con frecuencia y de forma generosa para mantener la protección, especialmente después de nadar, transpirar, o secarse con toalla. Uso externo.
 
 Presentación: 
 Envase de 40ml."
3337875731638,"Acido Hialuronico Hydraphase
 Intense Ligera La Roche Posay",0.05 g - Normal a Mixta - 50 mL,La Roche-Posay,MLA738892288,"Hydraphase
 Intense Ligera
 DESCRIPCIÓN:
 Piel normal a mixta. Tratamiento rehidratante intensivo.
 TIPO DE PIEL:
 Piel normal a mixta
 ZONA DE APLICACIÓN:
 Rostro
 Composicion:
 Fórmula reforzada con fragmentos de Ácido Hialurónico, para una doble acción: 
 - Rehidratación intensa al infundir agua a la piel. 
 - Reforzar la cohesión celular para ayudar a retener el agua de manera duradera en la piel.
 BENEFICIOS:
 Piel deshidratada, normal a mixta y sensible.
 Hidratación inmediata: 96%. 
 Hidratación duradera: +48% de la hidratación a las 8 hs.
 
 Pack Size:
 50ml
 TIPO DE PRODUCTO
 Envase dosificador
 Consejos de APLICACIÓN:
 Aplicar diariamente durante la mañana y/o la noche. Adecuada para piel sensible."
3337872412646,"Acido Hialuronico Hydraphase
 Intense Ojos La roche posay",Todo tipo - 15 mL,La Roche-Posay,MLA738892289,"Hydraphase
 Intense Ojos
 DESCRIPCIÓN:
 Hidratante para el contorno de ojos. 
 Antibolsas.
 TIPO DE PIEL:
 Apta para todo tipo de piel
 ZONA DE APLICACIÓN:
 Rostro
 Composicion:
 Las uniones celulares aseguran la cohesión de la epidermis, indispensable para retener el agua en la piel. Fórmula intensamente rehidratante con doble acción antibolsas:
 - El Ácido Hialurónico fragmentado refuerza la cohesión celular para reducir la retención de líquidos al rededor de los ojos.
 - La cafeína con efecto descongestionante.
 - Sin parabenos
 - Sin perfume
 BENEFICIOS:
 Deshidratación del contorno de los ojos sensibles. Bolsas y párpados hinchados.
 
 
 gt; Líneas de deshidratación suavizadas: 84% 
 gt; Las bolsas se reducen: 62% 
 gt; Los signos de fatiga se ven menos acentuados: 64%
 
 * Test clínico en 50 mujeres con ojos sensibles y usuarias de lentes de contacto.
 
 Pack Size:
 15ml
 TIPO DE PRODUCTO
 Tubo
 Consejos de APLICACIÓN:
 1. Repartir una pequeña cantidad de producto por el contorno del ojo
 2. Extender la crema con ligeros toquecitos por el contorno del ojo. Repita el gesto hasta la completa penetración del producto.
 3. Para atenuar las bolsas repita el gesto en el párpado inferior, desde la zona interna del ojo hasta la sien. Termine con una pequeña presión en las sienes para activar la circulación linfática.
 4. Para atenuar las pequeñas arrugas de deshidratación, efectuar una serie de tecleteos alrededor de los ojos."
3433422404397,Agua Termal Aerosol La Roche-posay 150ml Piel Sensible,,La Roche-Posay,MLA738240380,"Agua Termal de La Roche-Posay

Calmante, antioxidante y antirritante.

 TIPO DE PIEL:
 Apta para todo tipo de piel

 ZONA DE APLICACIÓN:
 Rostro y Cuerpo

 Composición:
 Su estricta carta de formulación minimiza el riesgo de intolerancias. La composición rica y balanceada de minerales y oligoelementos, confieren al Agua Termal de La Roche-Posay beneficios demostrados científicamente:
 - Antioxidante
 - Antinflamatoria
 - Calmante
 - Antipruriginosa
 - Cicatrizante
 - Suavizante
 - Descongestiva
 
 
 BENEFICIOS:
 Pieles sensibles y/o irritadas por factores externos (sol, tratamientos dermatológicos, etc).
 Adecuada para las pieles de los adultos y los bebés.
 Propiedades calmantes y antirritantes clínicamente probadas. Con la garantía del Primer Centro Termal Europeo exclusivamente dedicado a la dermatología.
 
 Pack Size:
 150ml
 
TIPO DE PRODUCTO
 Aerosol 
 
Consejos de APLICACIÓN:
 Descongestiona, calma la piel de toda la familia, completa la rutina de limpieza, se utiliza postratamientos quirúrgicos, en cicatrices o pieles irritadas, luego de la depilación, luego de la exposición al sol, calma la irritación del afeitado, fija el maquillaje y es ideal para después del deporte.
"
3433422404403,Agua Termal de La Roche-Posay 300 ml,,La Roche-Posay,MLA738240423,"Agua Termal 
 de La Roche-Posay
 DESCRIPCIÓN:
 Calmante, antioxidante y antirritante.
 TIPO DE PIEL:
 Apta para todo tipo de piel
 ZONA DE APLICACIÓN:
 Rostro y Cuerpo
 Composicion:
 Su estricta carta de formulación minimiza el riesgo de intolerancias. La composición rica y balanceada de minerales y oligoelementos, confieren al Agua Termal de La Roche-Posay beneficios demostrados científicamente:
 - Antioxidante
 - Antinflamatoria
 - Calmante
 - Antipruriginosa
 - Cicatrizante
 - Suavizante
 - Descongestiva
 
 
 
 BENEFICIOS:
 Pieles sensibles y/o irritadas por factores externos (sol, tratamientos dermatológicos, etc).
 Adecuada para las pieles de los adultos y los bebés.
 Propiedades calmantes y antirritantes clínicamente probadas. Con la garantía del Primer Centro Termal Europeo exclusivamente dedicado a la dermatología.
 
 Pack Size:
 300ml
 TIPO DE PRODUCTO
 Aerosol 
 Consejos de APLICACIÓN:
 Descongestiona, calma la piel de toda la familia, completa la rutina de limpieza, se utiliza postratamientos quirúrgicos, en cicatrices o pieles irritadas, luego de la depilación, luego de la exposición al sol, calma la irritación del afeitado, fija el maquillaje y es ideal para después del deporte."
7790033309807,Anthelios Age Correct Fps50 + Hyalu B5 de Regalo,,La Roche-Posay,MLA1215157683,"Set de Protección UV de uso diario para piel con signos de envejecimiento
 Anthelios Age Correct FPS50 50ml + Hyalu B5 10ml de Regalo
 
 - NUEVO ANTHELIOS AGE CORRECT fps 50. La nueva generación de protección solar diaria antiedad que protege y corrige los signos del envejecimiento y manchas en 4 semanas. Con Protección de Amplio Espectro y activos correctivos dermatológicos potenciados por Ácido Hialurónico, Niacinamida, LHA y Phe-Resorcinol.
 
 ¿CÓMO APLICAR?
 Aplicar uniformemente en todo el rostro todas las mañanas como último paso de tu rutina de cuidado de la piel y antes del maquillaje.
  
 TEXTURA:
 Crema ultraligera con hidratación 24h.
 Acabado no graso, de rápida absorción y no deja marcas blancas. 
  
 BENEFICIOS CLAVE:
 PROTEGE:
 Desarrollado con nueva tecnología CELLOX-B3 y Mexoryl XL, diseñado para limitar el daño cutáneo inducido por los rayos UVA, UVB, IR-A y polución. 
 CORRIGE: 
 Eficacia antienvejecimiento y antimanchas con activos correctivos dermatológicos [Ácido Hialurónico Fragmentado + LHA + Phe-Resorcinol + Niacinamida]. Brinda Hidratación por 24H.
 
 
 - HYALU B5 Serum: La primera solución dermatocosmética de La Roche-Posay que repara1 y rellena de INMEDIATO y reduce significativamente las arrugas. Probado en piel sensible, incluso después de los procedimientos2.
 
 CÓMO SE APLICA:
 Aplicar en el rostro por la mañana y/o por la noche.
 
 1 Repara la barrera cutánea.
 2 Procedimientos superficiales. No aplicar sobre piel lastimada.
  
 TEXTURA
 Textura suave, fresca y fundente para un mayor bienestar de la piel.
 Con Agua Termal de La Roche-Posay.
 BENEFICIOS CLAVE
 Una exclusiva fórmula enriquecida con dos tipos de ácidos hialurónicos puros y vitamina B5 que rellenan e hidratan la piel. Rellena y repara la barrera cutánea.
 
 RELLENA Y REHIDRATA
 - Ácido hialurónico: reduce las arrugas, rellena y aumenta el volumen y la elasticidad de la piel.
 
 REPARA
 - Vitamina B5: Mejora el proceso de reparación de la piel.
 El Agua Termal de La Roche-Posay: Combate los radicales libres."
3337875696807,Anthelios Bruma Hidratante Niiños FPS 50+ La Roche Posay,,La Roche-Posay,MLA1509671734,"Anthelios Bruma de Cuepo para niños fps 50+ de La Roche-Posay.
 Sus beneficios son:
 1) Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación.
 2) Máxima eficacia con la mayor tolerancia. Apto para las pieles más sensibles.
 3) Aplicación práctica. 
 Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT y TECNOLOGÍA NETLOCK. 
 Testeado bajo control dermatológico. 

 Consejos de uso: Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. 
 
 BENEFICIOS:
 
 Muy alta protección de rayos UVB/UVA, rayos infrarrojos y contaminación. 
 
 Práctico formato bruma, textura no pegagosa, probado en pieles sensibles y con tendencia atópica.
 Muy resuistente al agua, sudor y arena
 
 TIPO DE PIEL:
 
 Niños
 
 ZONA DE APLICACIÓN:
 
 Cuerpo
 
 Consejos de APLICACIÓN:
 
 Aplicar 30 minutos antes de la exposición solar. Repetir con regularidad para mantener el nivel de protección: por lo menos una vez cada dos horas, después de cada baño y después de secarse con la toalla. Uso externo. 
 
 COMPOSICIÓN:
 
 Contiene Agua termal de la Roche-Posay, tecnología de protección solar XL-PROTECT y TECNOLOGÍA NETLOCK que garantiza una muy alta protección solar de amplio espectro y ultra resistencia. Testeado en pieles sensibles y con patológias.
 
 TIPO DE PRODUCTO:
 
 Bruma
 
 CONTENIDO:
 
 125ml"
7790033309791,Anthelios Color Age Correct Fps50 + Hyalu B5 Regalo,,La Roche-Posay,MLA1607538986,"Set de Protección UV de uso diario para piel con signos de envejecimiento
 Anthelios Age Correct con Color FPS50 50ml + Hyalu B5 10ml de Regalo
 
 - NUEVO ANTHELIOS AGE CORRECT con color fps 50. La nueva generación de protección solar diaria antiedad que protege y corrige los signos del envejecimiento y manchas en 4 semanas. Con Protección de Amplio Espectro y activos correctivos dermatológicos potenciados por Ácido Hialurónico, Niacinamida, LHA y Phe-Resorcinol. Formulado con pigmentos minerales para garantizar una alta cobertura que unifica el tono de la piel.
 
 ¿CÓMO APLICAR?
 Aplicar uniformemente en todo el rostro todas las mañanas como último paso de tu rutina de cuidado de la piel y antes del maquillaje.
  
 TEXTURA:
 Crema ultraligera con hidratación 24h.
 Acabado no graso, de rápida absorción y no deja marcas blancas. 
  
 BENEFICIOS CLAVE:
 PROTEGE:
 Desarrollado con nueva tecnología CELLOX-B3 y Mexoryl XL, diseñado para limitar el daño cutáneo inducido por los rayos UVA, UVB, IR-A y polución. 
 
 CORRIGE: 
 Eficacia antienvejecimiento y antimanchas con activos correctivos dermatológicos [Ácido Hialurónico Fragmentado + LHA + Phe-Resorcinol + Niacinamida]. Brinda Hidratación por 24H.
 
 
 - HYALU B5 Serum: La primera solución dermatocosmética de La Roche-Posay que repara1 y rellena de INMEDIATO y reduce significativamente las arrugas. Probado en piel sensible, incluso después de los procedimientos2.
 
 CÓMO SE APLICA:
 Aplicar en el rostro por la mañana y/o por la noche.
 
 1 Repara la barrera cutánea.
 2 Procedimientos superficiales. No aplicar sobre piel lastimada.
  
 TEXTURA
 Textura suave, fresca y fundente para un mayor bienestar de la piel.
 Con Agua Termal de La Roche-Posay.
 BENEFICIOS CLAVE
 Una exclusiva fórmula enriquecida con dos tipos de ácidos hialurónicos puros y vitamina B5 que rellenan e hidratan la piel. Rellena y repara la barrera cutánea.
 
 RELLENA Y REHIDRATA
 - Ácido hialurónico: reduce las arrugas, rellena y aumenta el volumen y la elasticidad de la piel.
 
 REPARA
 - Vitamina B5: Mejora el proceso de reparación de la piel.
 El Agua Termal de La Roche-Posay: Combate los radicales libres."
3337872419904,Anthelios Dermopediatrico Leche Bebe 50+,,La Roche-Posay,MLA750511403,"ANTHELIOS DERMOPEDIATRICO LECHE BEBE 50+ x 50ml.
 
 Para la piel delicada o atópica del rostro y cuerpo del bebé. Los niños menores de 3 años no deben ser expuestos directamente al sol. Exposición indirecta al sol. A partir de los 6 meses de edad. Especialmente formulado para la piel delicada del bebe.
 
 Para la piel delicada o atópica del rostro y cuerpo del bebé. Los niños menores de 3 años no deben ser expuestos directamente al sol. Exposición indirecta al sol. A partir de los 6 meses de edad. Uso externo. Especialmente formulado para la piel delicada o atópica del bebé.
 
 Protección UVA/UVB muy alta, fotoestable gracias al Mexoryl® SX y XL. Desarrollado con la dosis justa de ingredientes cuidadosamente seleccionados para la seguridad del bebé. Enriquecido con manteca de karité para hidratar y suavizar la piel al tiempo que la protege.
 
 Descripción: Textura aterciopelada. Hipoalergénica. Probada bajo control dermatológico y pediátrico. 
 
 Para utilizar a partir de los 6 meses de edad.
 
 Modo de uso: Aplicar 30 minutos antes de la exposición solar. Repetir cada 2 horas y después de cada baño. Uso externo. Los niños menores de 3 años no deben ser expuestos directamente al sol.
 
 Presentación: 
 Envase de 50ml."
