Fase,Marca,Nombre del producto,Titulo optimizado,EAN,Descripción,Beneficio (bullets),Modo de uso,Composición,Ingredientes,Textura,Tipo de piel,Categoría,Subcategoría,Presentacion,Palabras Clave
Fase 1,AVENE,Hydrance Aqua Gel,Crema Hidratante Facial Avene Hydrance Aqua Gel 50ml,7799075000826,"Crema hidratante 3 en 1 con una fresca textura aqua-gel que ofrece múltiples beneficios: hidrata intensamente, alivia y desintoxica la piel para restaurar su frescura original. Ideal para todo tipo de piel","- 48 hs de hidratación.
- Múltiples usos: puede aplicarse como crema hidratante, contorno de ojos y mascarilla de noche.
- Alivio intenso. 
- Cuidado detox.
- Textura gel-crema muy fresca adecuada para todo tipo de piel.
","Aplicar por la mañana y/o por la noche sobre el rostro, cuello y contorno de ojos. Se puede aplicar en capa gruesa como mascarilla.","Compuesto por: Agua Termal Avène (Calmante y desensibilizante), Glicerina (Hidratante), Cohederm (Complejo hidratante patentado), Pre-tocoferil (Antioxidante), Sulfato de dextrano (Descongestionante, drenante y descontaminante), Fase emoliente.
Dermatologicamente testeado.","AVENE THERMAL SPRING WATER (AVENE AQUA). GLYCERIN. PENTYLENE GLYCOL. 1,2-HEXANEDIOL. DIMETHICONE. ISOCETYL STEAROYL STEARATE. TRIETHYLHEXANOIN. CAPRYLIC/CAPRIC TRIGLYCERIDE. BETAINE. METHYL GLUCETH-20. POLYGLYCERYL-10 MYRISTATE. ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER. BHT. BIS-PEG-18 METHYL ETHER DIMETHYL SILANE. C12-20 ALKYL GLUCOSIDE. C14-22 ALCOHOLS. CARBOMER. CITRIC ACID. CUCURBITA PEPO (PUMPKIN) SEED OIL (CUCURBITA PEPO SEED OIL). FRAGRANCE (PARFUM). PHYTOSTEROLS. POTASSIUM HYDROXIDE. SODIUM CITRATE. SODIUM DEXTRAN SULFATE. SODIUM HYALURONATE. SQUALANE. TOCOPHERYL GLUCOSIDE. WATER (AQUA)",Gel,Todo tipo ,Facial,Hidratación ,50 ml,*Hidratación *Pieles Secas *Pieles deshidratadas *Pieles sensibles *Cuidado Facial *Rostro *Crema *Cara *Cuidado esencial *Uso frecuente *Reparador
Fase 1,AVENE,Hydrance Legere UV,Crema Hidratante Facial Avene Hydrance Legere UV SPF 30+ 40ml,7799075000833,"Crema hidratante de día que protege la piel del sol con SPF 30. Ideal para pieles normales a mixtas, sensibles y/o deshidratadas.","- Ofrece 24 horas de hidratación. 
- Protege y previene la piel de los daños ocasionados por los rayos UV. 
- Ayuda a prevenir el foto-envejecimiento. 
- No deja efecto blanquecino en su aplicación. 
- Deja la piel suave con efecto matificante (Emulsión Oil-Free ultra ligera).","Aplicar por la mañana y/o noche sobre el rostro, cuello y escote perfectamente limpios.","Compuesto por: Agua Termal Avène (Calmante y desensibilizante), Cohederm (Complejo hidratante patentado), Tinosorb M - Tinosorb S UVAsorb HEB - Parsol 1789 (sistema fotoprotector), Fase emoliente.
Dermatologicamente testeado.",AVENE THERMAL SPRING WATER (AVENE AQUA). C12-15 ALKYL BENZOATE. DICAPRYLYL CARBONATE. DIISOPROPYL ADIPATE. GLYCERIN. METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL [NANO]. WATER (AQUA). BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE. DIETHYLHEXYL BUTAMIDO TRIAZONE. ALUMINUM STARCH OCTENYLSUCCINATE. BUTYL METHOXYDIBENZOYLMETHANE. METHYL GLUCETH-20. POLYMETHYL METHACRYLATE. ISOCETYL STEAROYL STEARATE. TRIETHYLHEXANOIN. HYDROGENATED STARCH HYDROLYSATE. GLYCERYL STEARATE. PEG-100 STEARATE. POTASSIUM CETYL PHOSPHATE. BENZOIC ACID. CAPRYLIC/CAPRIC TRIGLYCERIDE. CAPRYLYL GLYCOL. DECYL GLUCOSIDE. DISODIUM EDTA. FRAGRANCE (PARFUM). GLYCERYL BEHENATE. GLYCERYL DIBEHENATE. PHYTOSTEROLS. POLYACRYLATE-13. POLYISOBUTENE. POLYSORBATE 20. PROPYLENE GLYCOL. SORBITAN ISOSTEARATE. TOCOPHEROL. TOCOPHERYL GLUCOSIDE. TRIBEHENIN. XANTHAN GUM,Crema ,Normal o mixta,Facial,Hidratación ,40 ml,*Hidratación *Pieles Secas *Pieles deshidratadas *Pieles sensibles *Post Solar *Cuidado Facial *Rostro *Crema *Cara *Cuidado esencial *Uso frecuente *Reparador
Fase 1,AVENE,Agua Termal de Avene,Agua Termal Avene 150ml,7798095410233,"Agua termal calmante y desensibilizante por naturaleza. Es el cuidado esencial para todo tipo de pieles, en especial aquellas sensibles. ","- Calmante. 
- Desensibilizante.  
- Aporta suavidad y frescura.
- Ayuda la re-epitelización 
- Complemento ideal para las pieles sensibles, alérgicas o irritadas. ","Sin agitar, pulverizar sobre el rostro a unos 20 cm de distancia. Esperar unos segundos y secar dando pequeños toques con un pañuelo de papel.","Compuesto por: Bicarbonato de Calcio y Magnesio, Cloruro de Sodio, Silicio, Oligoelementos, Hierro, Cobre, Zinc, Flúor. Bajo contenido en sales minerales (ideal para pieles sensibles). Bacteriológicamente pura (ayuda a las heridas). Relación Ca2/Mg2+ 2 a 1 (que mejora el proceso de cicatrización).
Libre de perfume y de aceite. Dermatologicamente testeado.",AVENE THERMAL SPRING WATER (AVENE AQUA). GAS : Nitrogen,Spray,Todo tipo ,Facial,Agua Termal,150 ml,*Cuidado esencial *Agua Termal  *Calmante *Pieles sensibles *Pieles irritadas *Spray *Rostro *Cuidado Facial *Cuidado diario *Cara  *Uso frecuente *Natural *Cicatrizante *Fijador Maquillaje
Fase 1,AVENE,Agua Termal de Avene,Agua Termal Avene 300ml,7798095410240,"Agua termal calmante y desensibilizante por naturaleza. Es el cuidado esencial para todo tipo de pieles, en especial aquellas sensibles. ","- Calmante. 
- Desensibilizante.  
- Aporta suavidad y frescura.
- Ayuda la re-epitelización 
- Complemento ideal para las pieles sensibles, alérgicas o irritadas. ","Sin agitar, pulverizar sobre el rostro a unos 20 cm de distancia. Esperar unos segundos y secar dando pequeños toques con un pañuelo de papel.","Compuesto por: Bicarbonato de Calcio y Magnesio, Cloruro de Sodio, Silicio, Oligoelementos, Hierro, Cobre, Zinc, Flúor. Bajo contenido en sales minerales (ideal para pieles sensibles). Bacteriológicamente pura (ayuda a las heridas). Relación Ca2/Mg2+ 2 a 1 (que mejora el proceso de cicatrización). 
Libre de perfume y de aceite. Dermatologicamente testeado.",AVENE THERMAL SPRING WATER (AVENE AQUA). GAS : Nitrogen,Spray,Todo tipo ,Facial,Agua Termal,300 ml,*Cuidado esencial *Agua Termal  *Calmante *Pieles sensibles *Pieles irritadas *Spray *Rostro *Cuidado Facial *Cuidado diario *Cara *Uso frecuente *Natural *Cicatrizante *Fijador Maquillaje
Fase 1,AVENE,Loción Micelar x 200 ml ,Loción Micelar Avene 200ml,7798095415801,"Loción limpiadora y desmaquillante de rostro, ojos y labios  Elimina las impurezas de la piel, dejándola suave y fresca. Apto para todo tipo de piel","- Ideal para quien busca un desmaquillado práctico y sencillo.
- Oil-free
- Sin alcohol","Aplicar con un algodón durante la mañana o noche sobre el rostro, ojos, labios y cuello. Renovar la aplicación si es necesario. No enjuagar.","Compuesto por: Agua Termal Avène (Calmante y desensibilizante), Tenso-activos suaves (Limpian en profundidad respetando la integridad de la piel), Pentilenglicoles (Antidesecante, agente hidratante).
Dermatologicamente testeado.",AVENE THERMAL SPRING WATER (AVENE AQUA). PENTYLENE GLYCOL. PEG-6 CAPRYLIC/CAPRIC GLYCERIDES. CETRIMONIUM BROMIDE. DISODIUM EDTA. FRAGRANCE (PARFUM). PEG-40 HYDROGENATED CASTOR OIL. SCLEROTIUM GUM. SODIUM CHLORIDE,Loción,Todo tipo ,Facial,Limpieza,200 ml,*Higiene facial *Limpieza *Cuidado facial *Rostro *Loción *Ojos *Cuidado esencial *Cara *Desmaquillante *Hidratante *Calmante
Fase 1,AVENE,Cleanance Gel,Gel de Limpieza Avene Cleanance 200ml,7799075001656,"Gel de limpieza para pieles grasas con tendencia acnéica. Limpia, matifica la piel y ayuda a reducir el exceso de sebo. ","- Limpia suavemente sin irritar.
- Elimina el exceso de sebo. 
- Purifica la piel respetando su PH. 
- Calma, equilibria y suaviza.","Aplicar mañana y/o noche sobre el rostro y cuello con un poco de agua o directamente sobre la piel húmeda. Dar un ligero masaje hasta que haga espuma. Luego, enjuagar bien y secar suavemente.","Compuesto por: Agua Termal Avène (Calmante y desensibilizante), Gluconato de Zinc (Seborreguladora antiirritante), Tensioactivos (Agentes limpiadores), Sulfato de Zinc Coceth(TM) (actividad anti acnes), Perfume.
Libre de perfume y de aceite. Dermatologicamente testeado. No posee jabón.",AVENE THERMAL SPRING WATER (AVENE AQUA). WATER (AQUA). ZINC COCETH SULFATE. LAURYL BETAINE. DECYL GLUCOSIDE. CETEARETH-60 MYRISTYL GLYCOL. PEG-7 GLYCERYL COCOATE. POLYSORBATE 20. CITRIC ACID. FRAGRANCE (PARFUM). GREEN 5 (CI 61570). ISOPROPYL ALCOHOL. PEG-40 HYDROGENATED CASTOR OIL. PEG-6. PPG-26-BUTETH-26. SILYBUM MARIANUM FRUIT EXTRACT. SODIUM BENZOATE. SODIUM CHLORIDE. SODIUM HYDROXIDE. TRISODIUM ETHYLENEDIAMINE DISUCCINATE. YELLOW 5 (CI 19140). ZINC GLUCONATE,Gel,Mixta o Grasa,Facial,Acné,200 ml,*Rostro *Limpieza *Acne *Pieles grasas *Cuidado de la piel *Cuidado Facial *Cuidado diario *Cara *Granos *Higiene *Calmante *Uso frecuente
Fase 1,AVENE,Crema Nutritiva Compensadora,Crema Nutritiva Avene Revitalizante 50ml,7798095410622,"Crema que nutre y calma la piel sensible, seca y desvitalizada.","-Brinda luminosidad y comodidad
-La tirantez desaparece de forma duradera
-Elimina los signos de fatiga","Aplicar sobre la piel limpia y seca del rostro, cuello y escote. ","Compuesto por: Agua Termal Avène (Ayuda en procesos irritativos y sensibilizantes) Extracto natural de frutos rojos (Potenciador de las células de la piel,
aportan energía y luminosidad) Pre-tocoferil (Precursor de Vitamina E, antioxidante) Aceites emolientes (Complejo nutritivo) Glicerina-Sorbitol (Complejo hidratante) ",AVENE THERMAL SPRING WATER (AVENE AQUA). GLYCERIN. OCTYLDODECANOL. MINERAL OIL (PARAFFINUM LIQUIDUM). CETEARYL ALCOHOL. DIMETHICONE. ISODODECANE. METHYL GLUCETH-20. PENTYLENE GLYCOL. WATER (AQUA). SILICA. CETEARYL GLUCOSIDE. GLYCERYL STEARATE. PEG-100 STEARATE. BENZOIC ACID. CAPRYLIC/CAPRIC TRIGLYCERIDE. ETHYLHEXYLGLYCERIN. FRAGRANCE (PARFUM). HYDROGENATED STARCH HYDROLYSATE. POLYACRYLATE-13. POLYISOBUTENE. POLYSORBATE 20. RIBES RUBRUM (CURRANT) FRUIT EXTRACT (RIBES RUBRUM FRUIT EXTRACT). RUBUS IDAEUS (RASPBERRY) FRUIT EXTRACT (RUBUS IDAEUS FRUIT EXTRACT). SODIUM BENZOATE. SODIUM HYDROXIDE. SORBITAN ISOSTEARATE. TOCOPHEROL. TOCOPHERYL GLUCOSIDE. VACCINIUM MYRTILLUS FRUIT EXTRACT. XANTHAN GUM,Crema ,Seca ,Facial,Hidratación ,50 ml,*Crema *Bálsamo *Piel sensible *Piel seca *Revitalizante *Suavidad *Tirantez *Firmeza *Reafirmante *Relajante *Fatiga
Fase 1,AVENE,Apaisante contorno de Ojos,Contorno de ojos Avene Calmante 10ml,7798095413845,"Contorno de ojos que hidrata, descongestiona y calma. Sin perfume.","-Atenúa el aspecto cansado de la piel
-Devuelve flexibilidad a los párpados
-Descongestiona bolsas
-Disminuye ojeras
-Calma irritaciones","Aplicar por la mañana y noche con pequeños golpes con el dedo anular desde
el ángulo interno hacia la parte externa del ojo sobre los
párpados.","Compuesto por: Agua Termal Avène (Ayuda en procesos irritativos y sensibilizantes) Bisabolol (Calmante) Sulfato de dextrano (Proporciona efecto de frescura descongestiona y desinflama el área de los ojos) Pretocoferil (Precursor de Vitamina E, antioxidante) 
",AVENE THERMAL SPRING WATER (AVENE AQUA). MINERAL OIL (PARAFFINUM LIQUIDUM). CAPRYLIC/CAPRIC TRIGLYCERIDE. CYCLOMETHICONE. GLYCERIN. SUCROSE STEARATE. PEG-12. SUCROSE DISTEARATE. TRIETHANOLAMINE. BATYL ALCOHOL. BISABOLOL. CAPRYLIC/CAPRIC GLYCERIDES. CARBOMER. DEXTRAN SULFATE. DISODIUM EDTA. SODIUM ACETATE. SODIUM HYALURONATE. TOCOPHERYL GLUCOSIDE,Crema ,Todo tipo ,Facial,Hidratación ,10 ml,*Crema *Bálsamo *Ojos *Parpádos *Calmante *Revitalizante *Suavidad *Suavizante *Ojeras *Bolsas *Flexibilidad
Fase 2,AVENE,Hydrance Legere,Crema Hidratante Avene Hydrance Legere 40ml,7798095410394,"Crema facial hidratante para pieles mixtas a grasas, incluso las sensibles. ","-Oil-Free
-Deja la piel suave con efecto matificante 
-Hidrata por 24 hs","Aplicar por la mañana y/o por la noche sobre la piel limpia del rostro, cuello y escote. ","Agua Termal Avène (Ayuda en procesos irritativos y 
sensibilizantes), Cohederm (Complejo hidratante patentado), Fase emoliente","AVENE THERMAL SPRING WATER (AVENE AQUA). GLYCERIN. PROPYLENE GLYCOL DICAPRYLATE/DICAPRATE. C14-22 ALCOHOLS. DIMETHICONE. ISOCETYL STEAROYL STEARATE. TRIETHYLHEXANOIN. 1,2-HEXANEDIOL. POLYMETHYL METHACRYLATE. POTASSIUM CETYL PHOSPHATE. ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER. BENZOIC ACID. C12-20 ALKYL GLUCOSIDE. FRAGRANCE (PARFUM). HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER. PHYTOSTEROLS. POLYSORBATE 60. SCLEROTIUM GUM. SODIUM HYDROXIDE. SORBITAN ISOSTEARATE. SQUALANE. WATER (AQUA)",Crema ,Mixta o Grasa,Facial,Hidratación ,40 ml,*Crema *Facial *Cara *Rostro *Piel sensible *Piel seca *Piel mixta *FPS *UV *Fotoprotector *Mate *Hidratante *Anti age
Fase 2,AVENE,Cuidado Exfoliante ,Gel Exfoliante Facial Avene 75ml,7799075000215,"Gel exfoliante para todo tipo de piel, incluso las más sensibles. ","-Elimina suavemente las células muertas e impurezas sin dañar la piel
-La piel se vuelve más suave y luminosa
","Aplicar sobre la piel limpia y humedecida del rostro, evitando el área del contorno de
los ojos. Dar un masaje circular con las yemas
de los dedos y enjuagar con agua tibia. Terminar con una
pulverización de Agua Termal de Avène.
Utilizar 1 ó 2 veces por semana.",Compuesto por: Agua Termal Avène (Ayuda en procesos irritativos y sensibilizantes.) Microesferas exfoliantes esferas de celulosa y cera de jojoba (Peeling mecánico) Niacinamida àcido salicílico (Peeling quimico) Glicoles (Efecto hidratante) Gluconato de zinc (Antiirritante) Perfume de la gama,AVENE THERMAL SPRING WATER (AVENE AQUA). GLYCERIN. PENTYLENE GLYCOL. HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER. WATER (AQUA). NIACINAMIDE. COCO-GLUCOSIDE. CELLULOSE ACETATE. ASCORBYL PALMITATE. CETRIMONIUM BROMIDE. CITRIC ACID. FRAGRANCE (PARFUM). GLYCERYL OLEATE. HYDROGENATED PALM GLYCERIDES CITRATE. JOJOBA ESTERS. LECITHIN. POLYSORBATE 60. RED 30 (CI 73360). SODIUM SALICYLATE. SORBITAN ISOSTEARATE. TALC. TOCOPHEROL. TRISODIUM ETHYLENEDIAMINE DISUCCINATE. ZINC GLUCONATE,Gel,Todo tipo ,Facial,Limpieza,75 ml,*Exfoliante *Facial *Cara *Rostro *Gel *Piel sensible *Hidratante *Limpieza *Suavizante *Alisante
