Cód. Barras,Categoría,MARCA,PRODUCTO,PRESENTACIÓN,LISTA DE PRECIOS,Unnamed: 9
,EAU THERMALE AVÈNE,,,,,
7798095410226.0,Agua Termal,AVENE,AVE-AGUA TERMAL AVENE,50 ml.,AVE-AGUA TERMAL AVENE, 
7798095410233.0,Agua Termal,AVENE,AVE-AGUA TERMAL AVENE,150 ml.,AVE-AGUA TERMAL AVENE, 
7798095410240.0,Agua Termal,AVENE,AVE-AGUA TERMAL AVENE,300 ml.,AVE-AGUA TERMAL AVENE, 
7798095413845.0,Hidratación,AVENE,AVE-CREMA CALMANTE CONTORNO DE OJOS,10 ml. ,AVE-CREMA CALMANTE CONTORNO DE OJOS, 
7798095410806.0,Anti-acné,AVENE,AVE-CLEANANCE GEL ,200 ml,AVE-CLEANANCE GEL , 
7799075001656.0,Anti-acné,AVENE,AVE-CLEANANCE GEL - NUEVA FORMULA,200 ml,AVE-CLEANANCE GEL - NUEVA FORMULA, 
7798095417942.0,Anti-acné,AVENE,AVE-LOCION MICELAR CLEANANCE ,400ml,AVE-CLEANANCE LOCION MICELAR , 
7799075001588.0,Anti-acné,AVENE,AVE-LOCION MICELAR CLEANANCE - NUEVA FORMULA,400 ml,AVE-CLEANANCE LOCION MICELAR - NUEVA FORMULA, 
7798095417911.0,Anti-acné,AVENE,AVE-CLEANANCE PAN,100grs,AVE-CLEANANCE PAN, 
7798095414729.0,Anti-acné,AVENE,AVE-CLEANANCE MASQUE,50 ml,AVE-CLEANANCE MASQUE, 
7799075001250.0,Anti-acné,AVENE,AVE-CLEANANCE COMEDOMED - NUEVO,30 ml.,AVE-CLEANANCE COMEDOMED - NUEVO, 
7799075001694.0,Anti-acné,AVENE,AVE-CLEANANCE CUIDADO MATIFICANTE - NUEVO,40 ml,AVE-CLEANANCE CUIDADO MATIFICANTE - NUEVO, 
7799075001786.0,Limpieza,AVENE,AVE-TOLERANCE LOCION LIMPIADORA - NUEVO,200 ml,AVE-TOLERANCE LOCION LIMPIADORA - NUEVO, 
7799075001793.0,hidratación,AVENE,AVE-TOLERANCE CONTROL CREMA CALMANTE REPARADORA - NUEVO,40 ml,AVE-TOLERANCE CONTROL CREMA CALMANTE REPARADORA - NUEVO, 
7798095410622.0,Hidratación,AVENE,AVE-CREMA NUTRITIVA COMPENSADORA,50 ml.,AVE-CREMA NUTRITIVA COMPENSADORA, 
7798095418666.0,Corporal>Piel seca,AVENE,AVE-TRIXERA NUTRICIÓN LECHE NUTRIFLUIDA,400 ml,AVE-TRIXERA NUTRICIÓN LECHE NUTRIFLUIDA, 
7798095418673.0,Corporal>Piel seca,AVENE,AVE-TRIXERA NUTRICIÓN BALSAMO NUTRIFLUIDO ,400 ml,AVE-TRIXERA NUTRICIÓN BALSAMO NUTRIFLUIDO , 
7798095418680.0,Corporal>Piel seca,AVENE,AVE-TRIXERA NUTRICIÓN GEL LIMPIEZA NUTRIFLUIDO ,400 ml,AVE-TRIXERA NUTRICIÓN GEL LIMPIEZA NUTRIFLUIDO , 
7799075000208.0,Corporal>Piel seca,AVENE,AVE-TRIXERA PAN ,100 gr.,AVE-TRIXERA PAN , 
7798095417256.0,Corporal > Piel Atópica,AVENE,AVE-ACEITE LIMPIADOR XERACALM,400 ml,AVE-XERACALM ACEITE LIMPIADOR, 
7799075001380.0,Corporal > Cicatrizante,AVENE,AVE-CICALFATE + CREMA  NUEVO,40 ml,AVE-CICALFATE + CREMA  NUEVO, 
7799075001595.0,Corporal > Cicatrizante,AVENE,AVE - CICALFATE + SPRAY NUEVO,100 ml,AVE-CICALFATE + SPRAY NUEVO, 
7798095410417.0,Hidratación,AVENE,AVE-HYDRANCE RICHE,40 ml.,AVE-HYDRANCE RICHE, 
7798095410394.0,Hidratación,AVENE,AVE-HYDRANCE LEGERE,40 ml.,AVE-HYDRANCE LEGERE, 
7798095418437.0,Hidratación,AVENE,AVE-HYDRANCE RICHE COLOR,40 ml,AVE-HYDRANCE RICHE COLOR, 
7798095418444.0,Hidratación,AVENE,AVE-HYDRANCE LEGERE COLOR,40 ml,AVE-HYDRANCE LEGERE COLOR, 
7799075000826.0,Hidratación,AVENE,AVE-HYDRANCE AQUA - GEL,50 ml,AVE-HYDRANCE AQUA - GEL, 
7799075000086.0,Hidratación,AVENE,AVE-HYDRANCE INTENSE SERUM ,30ml,AVE-HYDRANCE INTENSE SERUM , 
7798095410134.0,Hidratación,AVENE,AVE-MASCARILLA CALMANTE-HIDRATANTE,50 ml.,AVE-MASCARILLA CALMANTE-HIDRATANTE, 
7798095415085.0,Hidratación,AVENE,AVE-TOLERANCE EXTREME CREMA COSM. ESTERIL,50 ml,AVE-TOLERANCE EXTREME CREMA COSM. ESTERIL, 
7798095410363.0,Limpieza,AVENE,AVE-LECHE DESMAQUILLANTE,200 ml.,AVE-LECHE DESMAQUILLANTE, 
7798095410776.0,Limpieza,AVENE,AVE-LOCIÓN SUAVIZANTE,200 ml.,AVE-LOCIÓN SUAVIZANTE, 
7799075000215.0,Limpieza,AVENE,AVE-CUIDADO EXFOLIANTE,75 ml,AVE-CUIDADO EXFOLIANTE, 
7798095419007.0,Limpieza,AVENE,AVE-DESMAQUILLANTE 3 EN 1,200ml,AVE-DESMAQUILLANTE 3 EN 1, 
7798095415801.0,Limpieza,AVENE,AVE-LOCION MICELAR,200 ml,AVE-LOCION MICELAR, 
7799075000079.0,Limpieza,AVENE,AVE-DESMAQUILLANTE DE OJOS WATERPROOF ,125 ml,AVE-DESMAQUILLANTE DE OJOS WATERPROOF , 
7798095417041.0,Limpieza,AVENE,AVE-ESPUMA DE LIMPIEZA MATIFICANTE,150 ml,AVE-ESPUMA DE LIMPIEZA MATIFICANTE, 
7799075001120.0,Anti-edad,AVENE,AVE-A-OXITIVE CREMA DE DIA ,30 ml.,AVE-A-OXITIVE CREMA DE DIA , 
7799075001137.0,Anti-edad,AVENE,AVE-A-OXITIVE CREMA DE NOCHE,30 ml.,AVE-A-OXITIVE CREMA DE NOCHE, 
7799075001113.0,Anti-edad,AVENE,AVE-A-OXITIVE SERUM ,30 ml.,AVE-A-OXITIVE SERUM , 
7799075001144.0,Anti-edad,AVENE,AVE-A-OXITIVE CONTORNO DE OJOS,15 ml.,AVE-A-OXITIVE CONTORNO DE OJOS, 
7798095418321.0,Anti-edad,AVENE,AVE-PHYSIOLIFT EMULSION,30ml,AVE-PHYSIOLIFT EMULSION, 
7798095418383.0,Anti-edad,AVENE,AVE-PHYSIOLIFT CREMA,30ml,AVE-PHYSIOLIFT CREMA, 
7798095418413.0,Anti-edad,AVENE,AVE-PHYSIOLIFT CONT OJOS,15ml,AVE-PHYSIOLIFT CONT OJOS, 
7798095418390.0,Anti-edad,AVENE,AVE-PHYSIOLIFT CREMA NOCHE,30ml,AVE-PHYSIOLIFT CREMA NOCHE, 
7798095419908.0,Anti-edad,AVENE,AVE-PHYSIOLIFT SERUM ,30ml,AVE-PHYSIOLIFT SERUM , 
7799075001649.0,Anti-edad,AVENE,AVE - PHYSIOLIFT CREMA SPF 30 - NUEVO,30 ml,AVE - PHYSIOLIFT CREMA SPF 30 - NUEVO, 
