codigo,ean,stock,precio,promo,descripcion
20,41554590500,9,27413.0,35%,MAYBELLINE LASH SENS.SKY HIGH VERY BLACK
20,70942122863,9,5894.0,No Promo,GUM SOFT PICKS ORIGINAL PALILLOS INTERDENTAL 40+5 45 UNIDADES
20,70942304733,9,4183.0,No Promo,GUM FLOSSER ULTRA DESLIZANTE SUAVE HILO DENT L 40 UNIDADES
20,309971879159,9,12290.0,No Promo,REVLON KISS BALM lab.x1u015(JUICYPEACH)
20,650240011290,9,11068.0,35%,GOICOECHEA cr.diabetex x 400 g
20,3337871328795,9,96580.0,No Promo,VICHY LIFTACTIVE SUPREME PNM pote x50ml
20,3337875597272,9,32220.0,No Promo,CERAVE CREMA CONTORNO OJOS 14ML
20,3337875839501,9,70185.0,No Promo,VICHY MINERAL 89 CREMA  RICA 50ML
20,3337875895637,9,70185.0,No Promo,VICHY MINERAL 89 CREMA  RICA 50ML
20,3600523627240,9,4238.0,40%,ELVIVE HIALURONICO PURE HIDRA PURIFICANTE AC NDICIONADOR 200ML
20,3600524057336,9,38515.0,No Promo,LOREAL REVITALIFT RETINOL NOCHE SERUM 30ML
20,4005900036759,9,2348.0000000000005,25%,NIVEA INVISIBLE BLACK&WHITE POWER DESO.ROLL- N x50ml
20,4005900656063,9,57482.0,No Promo,EUCERIN HYALURON FILLER BOOSTER X 30ML
20,4005900839626,9,53789.0,No Promo,EUCERIN OIL CONTROL PROTECTOR SOLAR TONO CLA O FPS50 GEL 50ML
20,4005900942791,9,5831.000000000001,No Promo,CURITAS APOSITO FLEXIBLE XL 10 UNIDADES
20,4005900985828,9,5767.0,2x1,NIVEA MICELAR 4EN1 TOALLITA DESMAQUILLANTE 25uni
20,7500435185240,9,11728.0,25%,GILLETTE MACH3 SENSITIVE MAQUINA 1 UNIDAD
20,7500435188098,9,12266.0,No Promo,PANTENE PRO-V BAMBU VOLUME MULTIPLIER TRATAM ENTO SIN ENJUEGUE 110ML
20,7500435230094,9,8043.0,40%,PANTENE PRO-V MIRACLES HIDRATA Y FORTALECE S AMPOO 400ML
